Entry	Status	Gene ontology (cellular component)
A0A0B4K6W9	unreviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]
B7Z143	unreviewed	cytoplasm [GO:0005737]; nuclear periphery [GO:0034399]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
E2QCN0	unreviewed	nucleus [GO:0005634]
F3YDG4	unreviewed	nucleus [GO:0005634]
O17144	unreviewed	carboxy-terminal domain protein kinase complex [GO:0032806]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; nucleus [GO:0005634]; transcription factor TFIIH holo complex [GO:0005675]; transcription factor TFIIK complex [GO:0070985]
O46070	unreviewed	
O61661	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
O76876	unreviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]
O77051	reviewed	chromatin [GO:0000785]; Myb complex [GO:0031523]; Rb-E2F complex [GO:0035189]; RNA polymerase II transcription factor complex [GO:0090575]
P14785	reviewed	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; spectrosome [GO:0045170]
Q24159	unreviewed	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q7JZB4	reviewed	
Q7KT57	unreviewed	P granule [GO:0043186]
Q8INB9	reviewed	cell cortex [GO:0005938]; cytosol [GO:0005829]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q95TJ9	reviewed	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; polytene chromosome [GO:0005700]
Q961D1	unreviewed	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; nucleus [GO:0005634]
Q9I7I7	reviewed	chromosome [GO:0005694]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q9VEH1	unreviewed	centrosome [GO:0005813]; condensed nuclear chromosome outer kinetochore [GO:0000942]; kinetochore [GO:0000776]; spindle [GO:0005819]
Q9VHN1	unreviewed	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; SCF ubiquitin ligase complex [GO:0019005]
Q9VKW2	unreviewed	
Q9VLW7	unreviewed	centrosome [GO:0005813]; cytoplasm [GO:0005737]; mitotic spindle [GO:0072686]; nucleus [GO:0005634]
Q9VNM2	unreviewed	
Q9VTU3	reviewed	early endosome [GO:0005769]; recycling endosome [GO:0055037]
Q9VVE3	unreviewed	integral component of membrane [GO:0016021]
Q9W321	unreviewed	histone acetyltransferase complex [GO:0000123]; histone methyltransferase complex [GO:0035097]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; polytene chromosome [GO:0005700]; presynapse [GO:0098793]; protein-containing complex [GO:0032991]
V5LWW0	unreviewed	nucleus [GO:0005634]
A0A0B4K7I7	unreviewed	
Q9VWX7	unreviewed	nucleus [GO:0005634]
Q9VY14	unreviewed	
A0A0B4K7J3	unreviewed	activin receptor complex [GO:0048179]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
B5RIQ1	unreviewed	
Q8INC3	unreviewed	myosin complex [GO:0016459]; sarcomere [GO:0030017]
Q9U1K1	reviewed	cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; cytoskeleton [GO:0005856]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
A0A0B4K7J4	unreviewed	anchored component of external side of plasma membrane [GO:0031362]; external side of plasma membrane [GO:0009897]; receptor complex [GO:0043235]
Q7JY89	unreviewed	
Q9V8W3	reviewed	aster [GO:0005818]; cytoplasm [GO:0005737]; membrane [GO:0016020]; perinuclear region of cytoplasm [GO:0048471]; Rab-protein geranylgeranyltransferase complex [GO:0005968]; spindle pole [GO:0000922]; synaptic vesicle [GO:0008021]
Q9VZR0	unreviewed	cytoplasm [GO:0005737]
Q9W3X6	unreviewed	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; tricarboxylic acid cycle enzyme complex [GO:0045239]
A0A0B4K7N1	unreviewed	integral component of membrane [GO:0016021]
O46085	unreviewed	cytosol [GO:0005829]; integral component of membrane [GO:0016021]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]
Q94519	reviewed	cytosol [GO:0005829]; mitochondrion [GO:0005739]; respiratory chain [GO:0070469]
A0A0B4K7S6	unreviewed	nucleus [GO:0005634]
P18459	reviewed	
Q9W279	unreviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
A0A0B4K852	unreviewed	nucleoplasm [GO:0005654]
A0A0B4LGD0	unreviewed	
Q8INQ9	unreviewed	cell leading edge [GO:0031252]; focal adhesion [GO:0005925]
Q8WS79	unreviewed	nucleus [GO:0005634]
Q9V3B8	unreviewed	
Q9VAI3	unreviewed	
Q9VWN9	unreviewed	Cul2-RING ubiquitin ligase complex [GO:0031462]
Q9VZ60	unreviewed	
A0A0B4KEZ3	unreviewed	
O16797	reviewed	cytosolic large ribosomal subunit [GO:0022625]
P08570	reviewed	cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]
Q02748	reviewed	cytosol [GO:0005829]; eukaryotic translation initiation factor 4F complex [GO:0016281]; nucleus [GO:0005634]; P granule [GO:0043186]
Q26263	reviewed	nucleus [GO:0005634]
Q8IQG1	reviewed	cell hair [GO:0070451]; cell periphery [GO:0071944]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; rhabdomere [GO:0016028]
Q9VKX2	unreviewed	cytosol [GO:0005829]; peroxisome [GO:0005777]
Q9VNS4	unreviewed	
Q9VUH9	unreviewed	cytosol [GO:0005829]; P granule [GO:0043186]
Q9VWQ2	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q9VYA4	unreviewed	nucleus [GO:0005634]
Q9W1K5	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
A0A0B4KGY6	unreviewed	cytosol [GO:0005829]; nucleus [GO:0005634]
A4IJ59	unreviewed	
P33244	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]; RNA polymerase II transcription factor complex [GO:0090575]
Q24491	reviewed	nucleus [GO:0005634]
Q7KHL0	unreviewed	chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; omega speckle [GO:0035062]; ribonucleoprotein complex [GO:1990904]
Q9VJ53	unreviewed	
A0A0B4KHH8	unreviewed	nucleus [GO:0005634]; postsynapse of neuromuscular junction [GO:0098975]; precatalytic spliceosome [GO:0071011]; ribonucleoprotein granule [GO:0035770]
A8JNS0	unreviewed	extracellular space [GO:0005615]
A0A0B4KI23	unreviewed	extracellular matrix [GO:0031012]
Q95RB2	unreviewed	extracellular matrix [GO:0031012]
A1Z6J6	unreviewed	
A1Z8W1	unreviewed	
A8DYE4	unreviewed	intracellular [GO:0005622]
A8DZ19	unreviewed	muscle cell postsynaptic specialization [GO:0097482]
A8JNL9	unreviewed	nucleus [GO:0005634]
A8JR00	unreviewed	
B7Z028	unreviewed	peroxisome [GO:0005777]
Q9VR35	reviewed	cytoplasm [GO:0005737]; RNA cap binding complex [GO:0034518]
M9ND89	unreviewed	apical cortex [GO:0045179]; centrosome [GO:0005813]; cleavage furrow [GO:0032154]; endocytic vesicle [GO:0030139]; microtubule associated complex [GO:0005875]; midbody [GO:0030496]; perinuclear region of cytoplasm [GO:0048471]; recycling endosome membrane [GO:0055038]
O46106	reviewed	catalytic step 2 spliceosome [GO:0071013]; precatalytic spliceosome [GO:0071011]; spliceosomal complex [GO:0005681]; U2 snRNP [GO:0005686]
P15330	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; neuromuscular junction [GO:0031594]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; subsynaptic reticulum [GO:0071212]
P17886	reviewed	catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; post-mRNA release spliceosomal complex [GO:0071014]; precatalytic spliceosome [GO:0071011]; Prp19 complex [GO:0000974]
P35415	reviewed	myofibril [GO:0030016]; myosin filament [GO:0032982]
P54361	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q0E993	unreviewed	cytoplasm [GO:0005737]
Q24312	reviewed	nucleus [GO:0005634]
Q24558	reviewed	nucleus [GO:0005634]
Q24564	reviewed	adherens junction [GO:0005912]; apical cortex [GO:0045179]; apical plasma membrane [GO:0016324]; cell-cell junction [GO:0005911]; cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytoplasmic side of apical plasma membrane [GO:0098592]; cytoskeleton [GO:0005856]; Kibra-Ex-Mer complex [GO:0036375]; membrane [GO:0016020]; Nebenkern [GO:0016006]; plasma membrane [GO:0005886]
Q7K4X4	unreviewed	
Q7KMJ6	reviewed	nucleus [GO:0005634]; precatalytic spliceosome [GO:0071011]; RNA N6-methyladenosine methyltransferase complex [GO:0036396]
Q8IPW1	unreviewed	intracellular [GO:0005622]; plasma membrane [GO:0005886]; synapse [GO:0045202]
Q8IR14	unreviewed	cytoplasm [GO:0005737]
Q8IRI7	unreviewed	
Q9GYU8	reviewed	chromatin [GO:0000785]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nucleoplasm [GO:0005654]
Q9W3N6	reviewed	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi cisterna membrane [GO:0032580]; Golgi stack [GO:0005795]
Q9V3M9	unreviewed	microtubule associated complex [GO:0005875]; sperm flagellum [GO:0036126]
Q9V785	reviewed	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
Q9VAA1	unreviewed	intracellular [GO:0005622]
Q9VCE6	reviewed	nuclear speck [GO:0016607]; nucleus [GO:0005634]; RNA N6-methyladenosine methyltransferase complex [GO:0036396]
Q9VCU7	reviewed	cytoplasm [GO:0005737]; P granule [GO:0043186]; Yb body [GO:0070725]
Q9VD71	unreviewed	
Q9VDG2	reviewed	intracellular [GO:0005622]; membrane [GO:0016020]
Q9VDS5	reviewed	cytoplasm [GO:0005737]; intracellular [GO:0005622]; neuromuscular junction [GO:0031594]
Q9VDV3	reviewed	nuclear pore [GO:0005643]
Q9VF37	unreviewed	synaptonemal complex [GO:0000795]
Q9VF72	unreviewed	
Q9VHG0	unreviewed	chromatin [GO:0000785]; nucleus [GO:0005634]
Q9VHV1	unreviewed	
Q9VL65	unreviewed	
Q9VLB2	unreviewed	
Q9VLJ8	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; molybdopterin synthase complex [GO:0019008]
Q9VML8	unreviewed	
Q9VMQ8	unreviewed	cytosol [GO:0005829]; GARP complex [GO:0000938]; Golgi apparatus [GO:0005794]; recycling endosome [GO:0055037]; trans-Golgi network [GO:0005802]
Q9VNK8	unreviewed	
Q9VPS5	reviewed	cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
Q9VQK1	unreviewed	
Q9VR24	unreviewed	
Q9VR99	reviewed	catalytic step 2 spliceosome [GO:0071013]
Q9VRQ6	unreviewed	
Q9VSB2	unreviewed	
Q9VT94	unreviewed	cytoplasm [GO:0005737]; ubiquitin ligase complex [GO:0000151]
Q9VUL2	unreviewed	extrinsic component of mitochondrial inner membrane [GO:0031314]
Q9VV90	unreviewed	
Q9VZQ7	unreviewed	
Q9W0V5	unreviewed	
Q9W289	unreviewed	cis-Golgi network [GO:0005801]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; Golgi cis cisterna [GO:0000137]; Golgi cisterna membrane [GO:0032580]; Golgi stack [GO:0005795]
Q9W2J7	unreviewed	integral component of membrane [GO:0016021]; neuronal cell body [GO:0043025]
Q9W3K6	unreviewed	
Q9W3Z4	unreviewed	
Q9W403	unreviewed	nucleus [GO:0005634]
Q9W4E0	unreviewed	integral component of membrane [GO:0016021]
Q9W4I4	unreviewed	nucleus [GO:0005634]
Q9XYM0	reviewed	
Q9Y103	reviewed	catalytic step 2 spliceosome [GO:0071013]; precatalytic spliceosome [GO:0071011]; spliceosomal complex [GO:0005681]; U2-type post-mRNA release spliceosomal complex [GO:0071008]
X2JDN0	unreviewed	nucleus [GO:0005634]
A0A0B4LH08	unreviewed	intracellular [GO:0005622]
Q7JZZ3	unreviewed	
A0A0B7P9G0	unreviewed	cell [GO:0005623]; integral component of membrane [GO:0016021]
Q9VSY8	unreviewed	cis-Golgi network membrane [GO:0033106]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; TRAPP complex [GO:0030008]
A0A0C4DHA6	unreviewed	CCR4-NOT complex [GO:0030014]; cytoplasm [GO:0005737]
Q9VCU8	unreviewed	
Q9VX24	unreviewed	
Q9W255	unreviewed	catalytic step 2 spliceosome [GO:0071013]; nucleus [GO:0005634]; precatalytic spliceosome [GO:0071011]
A0A0C4DHB0		
P49071	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q9V3G9	unreviewed	
Q9V468	reviewed	nucleus [GO:0005634]
Q9V4F4	unreviewed	extracellular space [GO:0005615]
Q9VAU6	unreviewed	
Q9VSP8	unreviewed	CCR4-NOT core complex [GO:0030015]; P-body [GO:0000932]
A0A0C4DHD7	unreviewed	intracellular [GO:0005622]
A1ZBT3	unreviewed	
P02517	reviewed	cytoplasm [GO:0005737]
Q23993	unreviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q24175	unreviewed	extrinsic component of membrane [GO:0019898]
Q4V5L1	unreviewed	
Q7KUU5	unreviewed	mitochondrion [GO:0005739]
Q7KWG9	unreviewed	peroxisome [GO:0005777]
Q9VK21	unreviewed	
Q9VV44	unreviewed	extracellular matrix [GO:0031012]
Q9VYQ8	reviewed	cytosol [GO:0005829]; nucleus [GO:0005634]; polytene chromosome [GO:0005700]; protein-containing complex [GO:0032991]; transcriptionally silent chromatin [GO:0035328]
A0A126GUP6	reviewed	
Q9VU13	unreviewed	extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]
A0AQH0	unreviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]; proteasome core complex, beta-subunit complex [GO:0019774]
O61443	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q0E8X9	unreviewed	proteasome core complex [GO:0005839]
Q9VHG1	unreviewed	autophagosome [GO:0005776]; CORVET complex [GO:0033263]; cytosol [GO:0005829]; endosome [GO:0005768]; HOPS complex [GO:0030897]; lysosome [GO:0005764]
A0AVV3	unreviewed	nucleus [GO:0005634]
O18404	reviewed	cytosol [GO:0005829]; mitochondrial ribonuclease P complex [GO:0030678]; mitochondrion [GO:0005739]
Q94901	reviewed	catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; precatalytic spliceosome [GO:0071011]
Q9VJN5	reviewed	cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q9VKM6	reviewed	NuA4 histone acetyltransferase complex [GO:0035267]; nucleus [GO:0005634]
Q9VNF6	unreviewed	histone deacetylase complex [GO:0000118]; nucleoplasm [GO:0005654]; NuRD complex [GO:0016581]
A1A714	unreviewed	integral component of membrane [GO:0016021]
Q9VIY9	unreviewed	nucleus [GO:0005634]
A1YK56	unreviewed	nuclear envelope [GO:0005635]; nuclear pore outer ring [GO:0031080]
O44424	reviewed	catalytic step 2 spliceosome [GO:0071013]; nucleus [GO:0005634]
P02844	reviewed	extracellular region [GO:0005576]
Q95TK5	unreviewed	mitochondrion [GO:0005739]
Q9VWG6	unreviewed	integral component of membrane [GO:0016021]
Q9W2N5	unreviewed	cytoplasm [GO:0005737]; GID complex [GO:0034657]; nucleus [GO:0005634]
A1Z6E0	reviewed	cell cortex [GO:0005938]; Cul5-RING ubiquitin ligase complex [GO:0031466]; cytoplasm [GO:0005737]; elongin complex [GO:0070449]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; pole plasm [GO:0045495]; SCF ubiquitin ligase complex [GO:0019005]
A1Z6K2	unreviewed	integral component of membrane [GO:0016021]
A1Z7R9	unreviewed	
A1ZBL9	unreviewed	basolateral plasma membrane [GO:0016323]; cell cortex [GO:0005938]; cytoplasm [GO:0005737]; fusome [GO:0045169]; germline ring canal [GO:0045172]; neuromuscular junction [GO:0031594]; type I terminal bouton [GO:0061174]
B7Z0M0	unreviewed	cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; late endosome membrane [GO:0031902]; SNARE complex [GO:0031201]
C6SUW9	unreviewed	nucleus [GO:0005634]
O97143	reviewed	centriole [GO:0005814]
P04412	reviewed	basal plasma membrane [GO:0009925]; cytoplasm [GO:0005737]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
P05552	reviewed	nucleus [GO:0005634]
P23573	reviewed	cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
P25007	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P40657	reviewed	nuclear transcription factor complex [GO:0044798]; nucleus [GO:0005634]
P46824	reviewed	cytoplasm [GO:0005737]; kinesin complex [GO:0005871]; microtubule [GO:0005874]
Q6AWH2	unreviewed	
Q7JWD6	unreviewed	Cul2-RING ubiquitin ligase complex [GO:0031462]; elongin complex [GO:0070449]; polytene chromosome [GO:0005700]; polytene chromosome interband [GO:0005705]
Q7K306	unreviewed	nucleus [GO:0005634]
Q7KJ69	unreviewed	SCF ubiquitin ligase complex [GO:0019005]
Q8MQJ7	unreviewed	Atg1/ULK1 kinase complex [GO:1990316]; cytosol [GO:0005829]; membrane [GO:0016020]; neuron projection [GO:0043005]; phagophore assembly site [GO:0000407]
Q961G6	unreviewed	
Q9I7K6	reviewed	nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9V3M2	unreviewed	
Q9VC43	unreviewed	
Q9VCW3	reviewed	membrane [GO:0016020]; nuclear pore outer ring [GO:0031080]
Q9VCY7	unreviewed	integral component of endoplasmic reticulum membrane [GO:0030176]; integral component of membrane [GO:0016021]
Q9VCZ7	unreviewed	
Q9VD82	unreviewed	nucleus [GO:0005634]; transcription factor TFIIK complex [GO:0070985]
Q9VH69	reviewed	cytosolic small ribosomal subunit [GO:0022627]; polysomal ribosome [GO:0042788]; rough endoplasmic reticulum [GO:0005791]
Q9VIF2	unreviewed	
Q9VJ55	unreviewed	
Q9VMA3	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; neuromuscular junction [GO:0031594]; nucleus [GO:0005634]; P-body [GO:0000932]; terminal bouton [GO:0043195]
Q9VNE1	unreviewed	
Q9VQI9	reviewed	ELL-EAF complex [GO:0032783]; nucleus [GO:0005634]; transcriptionally active chromatin [GO:0035327]; transcription elongation factor complex [GO:0008023]
Q9VVN4	reviewed	cytoplasm [GO:0005737]
Q9W5N2	reviewed	cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]
Q9XZC2	unreviewed	nucleus [GO:0005634]
A1Z6E8	unreviewed	Ino80 complex [GO:0031011]
O77430	unreviewed	cytosol [GO:0005829]; SCF ubiquitin ligase complex [GO:0019005]
P11929	reviewed	centrosome [GO:0005813]; pericentriolar material [GO:0000242]
P54366	reviewed	nucleus [GO:0005634]
Q0KHR4	unreviewed	cytoplasm [GO:0005737]
Q9V472	unreviewed	nucleus [GO:0005634]
Q9VBI1	unreviewed	GINS complex [GO:0000811]; replication fork protection complex [GO:0031298]
Q9VCD5	unreviewed	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; proteasome complex [GO:0000502]
Q9VHM3	unreviewed	nucleus [GO:0005634]
Q9VI55	reviewed	endomembrane system [GO:0012505]
Q9VIJ0	unreviewed	cytosol [GO:0005829]; extracellular region [GO:0005576]
Q9VJ29	reviewed	cytosol [GO:0005829]; Golgi apparatus [GO:0005794]
Q9VJB0	unreviewed	nucleus [GO:0005634]
Q9VJE7	unreviewed	
Q9VLT7	unreviewed	cytosolic large ribosomal subunit [GO:0022625]
Q9VR29	unreviewed	catalytic step 2 spliceosome [GO:0071013]; precatalytic spliceosome [GO:0071011]
Q9VVC2	unreviewed	
Q9VXF4	unreviewed	
Q9W4K1	unreviewed	AP-3 adaptor complex [GO:0030123]
Q9W5G0	unreviewed	
A1Z6G4	unreviewed	integral component of membrane [GO:0016021]
P42570	reviewed	protein kinase complex [GO:1902911]; serine/threonine protein kinase complex [GO:1902554]
P48609	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; protein kinase 5 complex [GO:0016533]; synapse [GO:0045202]
P91654	unreviewed	mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q24276	reviewed	cytoplasm [GO:0005737]
Q9V9R2	unreviewed	Cul2-RING ubiquitin ligase complex [GO:0031462]; cullin-RING ubiquitin ligase complex [GO:0031461]; perinuclear region of cytoplasm [GO:0048471]
Q9VI13	unreviewed	cell leading edge [GO:0031252]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; lateral plasma membrane [GO:0016328]; muscle cell postsynaptic specialization [GO:0097482]; neuromuscular junction [GO:0031594]
Q9VIH1	unreviewed	chromatin [GO:0000785]; chromosome, telomeric region [GO:0000781]; condensed nuclear chromosome [GO:0000794]; DNA replication factor A complex [GO:0005662]; site of double-strand break [GO:0035861]
A1Z6G6	unreviewed	cytoplasm [GO:0005737]
Q9W5X9	reviewed	microtubule [GO:0005874]
A1Z6G9	unreviewed	
A1Z6H0	unreviewed	integral component of membrane [GO:0016021]; pleated septate junction [GO:0005919]; septate junction [GO:0005918]
Q8SXP8	unreviewed	cytoplasm [GO:0005737]; H zone [GO:0031673]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; ribonucleoprotein complex [GO:1990904]
Q9VCR6	reviewed	apical cortex [GO:0045179]; apical part of cell [GO:0045177]; cell-cell junction [GO:0005911]; cytosol [GO:0005829]
W8PHN8	unreviewed	intracellular [GO:0005622]
A1Z6H7	unreviewed	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; nuclear pore [GO:0005643]; nuclear pore inner ring [GO:0044611]; nuclear pore nuclear basket [GO:0044615]; nuclear pore transmembrane ring [GO:0070762]
Q9VQA2	unreviewed	extracellular space [GO:0005615]
A1Z6I7	unreviewed	condensed chromosome outer kinetochore [GO:0000940]; condensed nuclear chromosome kinetochore [GO:0000778]; cytoplasm [GO:0005737]; kinetochore [GO:0000776]
O76523	unreviewed	bub1-bub3 complex [GO:1990298]; kinetochore [GO:0000776]; mitotic checkpoint complex [GO:0033597]; nucleoplasm [GO:0005654]
P20439	reviewed	centrosome [GO:0005813]; chromosome, centromeric region [GO:0000775]; cyclin-dependent protein kinase holoenzyme complex [GO:0000307]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; spindle [GO:0005819]; spindle midzone [GO:0051233]
Q7K0W4	unreviewed	
Q867Z4	reviewed	nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9U3Z7	reviewed	box C/D snoRNP complex [GO:0031428]; precatalytic spliceosome [GO:0071011]; small nuclear ribonucleoprotein complex [GO:0030532]; small-subunit processome [GO:0032040]; U4/U6 x U5 tri-snRNP complex [GO:0046540]
Q9V406	unreviewed	nucleus [GO:0005634]
Q9VHZ5	unreviewed	
Q9VKQ9	reviewed	MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; Set1C/COMPASS complex [GO:0048188]
Q9VXX8	reviewed	cytosolic large ribosomal subunit [GO:0022625]
Q9W2M8	unreviewed	mitochondrial large ribosomal subunit [GO:0005762]
Q9W4K2	reviewed	extracellular region [GO:0005576]
A1Z6J2	unreviewed	endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]
Q9VHC2	unreviewed	nucleus [GO:0005634]
Q9VKF8	unreviewed	
Q9VSU2	unreviewed	extracellular region [GO:0005576]; membrane [GO:0016020]
Q9W1S7	unreviewed	
A1Z7G6	unreviewed	membrane [GO:0016020]
A1Z8V2	unreviewed	
H1UUE3	unreviewed	
P10734	reviewed	nucleus [GO:0005634]
P27398	reviewed	cytoplasm [GO:0005737]; intracellular [GO:0005622]
P54622	reviewed	mitochondrial chromosome [GO:0000262]; mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; nucleoid [GO:0009295]
Q03017	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; neuromuscular junction [GO:0031594]
Q86P91	unreviewed	endomembrane system [GO:0012505]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; lysosome [GO:0005764]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; SNARE complex [GO:0031201]
