Entry	Status	Gene ontology (molecular function)
Q9VHN1	unreviewed	cyclin-dependent protein serine/threonine kinase activator activity [GO:0061575]; histone binding [GO:0042393]; kinase activity [GO:0016301]; protein kinase binding [GO:0019901]; ubiquitin binding [GO:0043130]
Q9VKW2	unreviewed	metal ion binding [GO:0046872]
Q9VLW7	unreviewed	protein serine/threonine phosphatase activity [GO:0004722]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; protein tyrosine phosphatase activity [GO:0004725]
Q9VNM2	unreviewed	
Q9VTU3	reviewed	GTPase activator activity [GO:0005096]; Rab GTPase binding [GO:0017137]
Q9VVE3	unreviewed	3-beta-hydroxy-delta5-steroid dehydrogenase activity [GO:0003854]; oxidoreductase activity [GO:0016491]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; steroid delta-isomerase activity [GO:0004769]
Q9W321	unreviewed	cAMP response element binding protein binding [GO:0008140]; histone acetyltransferase activity [GO:0004402]; histone acetyltransferase activity (H3-K18 specific) [GO:0043993]; histone acetyltransferase activity (H3-K27 specific) [GO:0044017]; histone methyltransferase binding [GO:1990226]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; zinc ion binding [GO:0008270]
V5LWW0	unreviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; protein dimerization activity [GO:0046983]
A0A0B4K7I7	unreviewed	
Q9VWX7	unreviewed	DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]
Q9VY14	unreviewed	
A0A0B4K7J3	unreviewed	activin binding [GO:0048185]; ATP binding [GO:0005524]; BMP receptor activity [GO:0098821]; growth factor binding [GO:0019838]; protein kinase activity [GO:0004672]; SMAD binding [GO:0046332]; transforming growth factor beta-activated receptor activity [GO:0005024]; transforming growth factor beta receptor activity, type I [GO:0005025]
B5RIQ1	unreviewed	actin binding [GO:0003779]; metal ion binding [GO:0046872]
Q8INC3	unreviewed	actin filament binding [GO:0051015]; ATPase activity, coupled [GO:0042623]; ATP binding [GO:0005524]; motor activity [GO:0003774]
Q9U1K1	reviewed	actin binding [GO:0003779]; microtubule binding [GO:0008017]
A0A0B4K7J4	unreviewed	cell adhesion molecule binding [GO:0050839]; signaling receptor activity [GO:0038023]
Q7JY89	unreviewed	
Q9V8W3	reviewed	GDP-dissociation inhibitor activity [GO:0005092]; GTPase activator activity [GO:0005096]
Q9VZR0	unreviewed	ribosylnicotinamide kinase activity [GO:0050262]; uridine kinase activity [GO:0004849]
Q9W3X6	unreviewed	fumarate hydratase activity [GO:0004333]
A0A0B4K7N1	unreviewed	
O46085	unreviewed	peroxisome matrix targeting signal-1 binding [GO:0005052]
Q94519	reviewed	acyl binding [GO:0000035]; acyl carrier activity [GO:0000036]; phosphopantetheine binding [GO:0031177]
A0A0B4K7S6	unreviewed	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
P18459	reviewed	iron ion binding [GO:0005506]; tyrosine 3-monooxygenase activity [GO:0004511]
Q9W279	unreviewed	ubiquitin protein ligase binding [GO:0031625]
A0A0B4K852	unreviewed	mRNA binding [GO:0003729]
A0A0B4LGD0	unreviewed	
Q8INQ9	unreviewed	metal ion binding [GO:0046872]
Q8WS79	unreviewed	nuclear receptor activity [GO:0004879]; sequence-specific DNA binding [GO:0043565]; steroid binding [GO:0005496]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]
Q9V3B8	unreviewed	nucleic acid binding [GO:0003676]
Q9VAI3	unreviewed	
Q9VWN9	unreviewed	zinc ion binding [GO:0008270]
Q9VZ60	unreviewed	
A0A0B4KEZ3	unreviewed	carbohydrate binding [GO:0030246]
O16797	reviewed	structural constituent of ribosome [GO:0003735]
P08570	reviewed	protein kinase activator activity [GO:0030295]; ribonucleoprotein complex binding [GO:0043021]; structural constituent of ribosome [GO:0003735]
Q02748	reviewed	ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; RNA helicase activity [GO:0003724]; translation initiation factor activity [GO:0003743]
Q26263	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; enhancer binding [GO:0035326]; protein dimerization activity [GO:0046983]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]
Q8IQG1	reviewed	metal ion binding [GO:0046872]; protein kinase binding [GO:0019901]
Q9VKX2	unreviewed	L-malate dehydrogenase activity [GO:0030060]; malate dehydrogenase activity [GO:0016615]
Q9VNS4	unreviewed	
Q9VUH9	unreviewed	metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]
Q9VWQ2	reviewed	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; ribosomal protein S6 kinase activity [GO:0004711]
Q9VYA4	unreviewed	
Q9W1K5	reviewed	leucine binding [GO:0070728]; oxidoreductase activity, acting on peroxide as acceptor [GO:0016684]
A0A0B4KGY6	unreviewed	pre-mRNA intronic binding [GO:0097157]
A4IJ59	unreviewed	RNA binding [GO:0003723]
P33244	reviewed	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; nuclear receptor activity [GO:0004879]; protein heterodimerization activity [GO:0046982]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; steroid hormone receptor activity [GO:0003707]; transcription factor binding [GO:0008134]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; zinc ion binding [GO:0008270]
Q24491	reviewed	mRNA binding [GO:0003729]; RNA binding [GO:0003723]
Q7KHL0	unreviewed	mRNA binding [GO:0003729]; transcription factor binding [GO:0008134]
Q9VJ53	unreviewed	
A0A0B4KHH8	unreviewed	mRNA binding [GO:0003729]
A8JNS0	unreviewed	serine-type endopeptidase activity [GO:0004252]
A0A0B4KI23	unreviewed	structural constituent of chitin-based larval cuticle [GO:0008010]
Q95RB2	unreviewed	structural constituent of chitin-based larval cuticle [GO:0008010]
A1Z6J6	unreviewed	
A1Z8W1	unreviewed	
A8DYE4	unreviewed	metal ion binding [GO:0046872]
A8DZ19	unreviewed	guanyl-nucleotide exchange factor activity [GO:0005085]; protein-containing complex scaffold activity [GO:0032947]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]
A8JNL9	unreviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; zinc ion binding [GO:0008270]
A8JR00	unreviewed	
B7Z028	unreviewed	acyl-CoA oxidase activity [GO:0003997]; FAD binding [GO:0071949]; fatty acid binding [GO:0005504]; flavin adenine dinucleotide binding [GO:0050660]; pristanoyl-CoA oxidase activity [GO:0016402]
Q9VR35	reviewed	eukaryotic initiation factor 4E binding [GO:0008190]; translation initiation factor activity [GO:0003743]
M9ND89	unreviewed	ADP-ribosylation factor binding [GO:0030306]; microtubule binding [GO:0008017]; Rab GTPase binding [GO:0017137]
O46106	reviewed	RNA binding [GO:0003723]; zinc ion binding [GO:0008270]
P15330	reviewed	chromatin binding [GO:0003682]; high mobility group box 1 binding [GO:0070379]; identical protein binding [GO:0042802]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; repressing transcription factor binding [GO:0070491]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]
P17886	reviewed	RNA binding [GO:0003723]
P35415	reviewed	motor activity [GO:0003774]
P54361	reviewed	ornithine decarboxylase inhibitor activity [GO:0008073]
Q0E993	unreviewed	aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; glutamate-tRNA ligase activity [GO:0004818]; valine-tRNA ligase activity [GO:0004832]
Q24312	reviewed	core promoter sequence-specific DNA binding [GO:0001046]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]
Q24558	reviewed	5'-3' exonuclease activity [GO:0008409]; 5'-flap endonuclease activity [GO:0017108]; DNA binding [GO:0003677]; double-stranded DNA 5'-3' exodeoxyribonuclease activity [GO:0051908]; double-stranded DNA binding [GO:0003690]; flap endonuclease activity [GO:0048256]; metal ion binding [GO:0046872]; single-stranded DNA 5'-3' exodeoxyribonuclease activity [GO:0045145]
Q24564	reviewed	actin binding [GO:0003779]; cytoskeletal protein binding [GO:0008092]; identical protein binding [GO:0042802]
Q7K4X4	unreviewed	
Q7KMJ6	reviewed	RNA binding [GO:0003723]
Q8IPW1	unreviewed	actin binding [GO:0003779]
Q8IR14	unreviewed	metal ion binding [GO:0046872]
Q8IRI7	unreviewed	
Q9GYU8	reviewed	chromatin binding [GO:0003682]; structural constituent of nuclear pore [GO:0017056]
Q9W3N6	reviewed	protein transporter activity [GO:0008565]
Q9V3M9	unreviewed	microtubule binding [GO:0008017]
Q9V785	reviewed	protein kinase inhibitor activity [GO:0004860]; SH3 domain binding [GO:0017124]
Q9VAA1	unreviewed	
Q9VCE6	reviewed	mRNA (2'-O-methyladenosine-N6-)-methyltransferase activity [GO:0016422]; mRNA (N6-adenosine)-methyltransferase activity [GO:0001734]; RNA binding [GO:0003723]
Q9VCU7	reviewed	
Q9VD71	unreviewed	
Q9VDG2	reviewed	GTPase activator activity [GO:0005096]; Ral GTPase binding [GO:0017160]
Q9VDS5	reviewed	GTPase activator activity [GO:0005096]; phospholipid binding [GO:0005543]; Rac GTPase binding [GO:0048365]; SH3 domain binding [GO:0017124]
Q9VDV3	reviewed	nuclear localization sequence binding [GO:0008139]; structural constituent of nuclear pore [GO:0017056]
Q9VF37	unreviewed	
Q9VF72	unreviewed	
Q9VHG0	unreviewed	chromatin binding [GO:0003682]
Q9VHV1	unreviewed	damaged DNA binding [GO:0003684]; DNA-directed DNA polymerase activity [GO:0003887]
Q9VL65	unreviewed	
Q9VLB2	unreviewed	
Q9VLJ8	reviewed	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; molybdopterin-synthase adenylyltransferase activity [GO:0061605]; molybdopterin-synthase sulfurtransferase activity [GO:0061604]; nucleotidyltransferase activity [GO:0016779]; thiosulfate sulfurtransferase activity [GO:0004792]; UFM1 activating enzyme activity [GO:0071566]; URM1 activating enzyme activity [GO:0042292]
Q9VML8	unreviewed	protein homodimerization activity [GO:0042803]; Ras GTPase binding [GO:0017016]
Q9VMQ8	unreviewed	Rab GTPase binding [GO:0017137]; syntaxin binding [GO:0019905]
Q9VNK8	unreviewed	
Q9VPS5	reviewed	ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]
Q9VQK1	unreviewed	
Q9VR24	unreviewed	
Q9VR99	reviewed	RNA binding [GO:0003723]
Q9VRQ6	unreviewed	nucleic acid binding [GO:0003676]
Q9VSB2	unreviewed	zinc ion binding [GO:0008270]
Q9VT94	unreviewed	ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
Q9VUL2	unreviewed	translation regulator activity [GO:0045182]
Q9VV90	unreviewed	
Q9VZQ7	unreviewed	
Q9W0V5	unreviewed	
Q9W289	unreviewed	Rab GTPase binding [GO:0017137]
Q9W2J7	unreviewed	
Q9W3K6	unreviewed	myosin binding [GO:0017022]
Q9W3Z4	unreviewed	identical protein binding [GO:0042802]
Q9W403	unreviewed	RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]
Q9W4E0	unreviewed	
Q9W4I4	unreviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein dimerization activity [GO:0046983]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]
Q9XYM0	reviewed	receptor tyrosine kinase binding [GO:0030971]
Q9Y103	reviewed	nucleic acid binding [GO:0003676]
X2JDN0	unreviewed	Ran GTPase binding [GO:0008536]
A0A0B4LH08	unreviewed	GTPase activator activity [GO:0005096]; Rab GTPase binding [GO:0017137]
Q7JZZ3	unreviewed	
A0A0B7P9G0	unreviewed	
Q9VSY8	unreviewed	
A0A0C4DHA6	unreviewed	
Q9VCU8	unreviewed	
Q9VX24	unreviewed	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
Q9W255	unreviewed	RNA binding [GO:0003723]
A0A0C4DHB0		
P49071	reviewed	ATP binding [GO:0005524]; calcium-dependent protein serine/threonine kinase activity [GO:0009931]; calmodulin-dependent protein kinase activity [GO:0004683]; mitogen-activated protein kinase binding [GO:0051019]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
Q9V3G9	unreviewed	
Q9V468	reviewed	metal ion binding [GO:0046872]
Q9V4F4	unreviewed	cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; transforming growth factor beta receptor binding [GO:0005160]
Q9VAU6	unreviewed	
Q9VSP8	unreviewed	
A0A0C4DHD7	unreviewed	actin binding [GO:0003779]; actin filament binding [GO:0051015]
A1ZBT3	unreviewed	
P02517	reviewed	myosin binding [GO:0017022]; unfolded protein binding [GO:0051082]
Q23993	unreviewed	ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
Q24175	unreviewed	zinc ion binding [GO:0008270]
Q4V5L1	unreviewed	
Q7KUU5	unreviewed	flavin adenine dinucleotide binding [GO:0050660]; flavin-linked sulfhydryl oxidase activity [GO:0016971]; protein disulfide oxidoreductase activity [GO:0015035]
Q7KWG9	unreviewed	nucleic acid binding [GO:0003676]
Q9VK21	unreviewed	actin binding [GO:0003779]
Q9VV44	unreviewed	structural constituent of chitin-based larval cuticle [GO:0008010]
Q9VYQ8	reviewed	cysteine-type endopeptidase activity [GO:0004197]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; transcription factor binding [GO:0008134]
A0A126GUP6	reviewed	endopeptidase activity [GO:0004175]; metal ion binding [GO:0046872]; serine-type endopeptidase activity [GO:0004252]
Q9VU13	unreviewed	
A0AQH0	unreviewed	endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]
O61443	reviewed	ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]; protein serine/threonine kinase activity [GO:0004674]; SAP kinase activity [GO:0016909]
Q0E8X9	unreviewed	threonine-type endopeptidase activity [GO:0004298]
Q9VHG1	unreviewed	
A0AVV3	unreviewed	sequence-specific DNA binding [GO:0043565]
O18404	reviewed	3-hydroxy-2-methylbutyryl-CoA dehydrogenase activity [GO:0047015]; 3-hydroxyacyl-CoA dehydrogenase activity [GO:0003857]; 7-beta-hydroxysteroid dehydrogenase (NADP+) activity [GO:0047022]; acetoacetyl-CoA reductase activity [GO:0018454]; estradiol 17-beta-dehydrogenase activity [GO:0004303]; steroid dehydrogenase activity [GO:0016229]; testosterone dehydrogenase (NAD+) activity [GO:0047035]; testosterone dehydrogenase [NAD(P)] activity [GO:0030283]
Q94901	reviewed	mRNA binding [GO:0003729]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]
Q9VJN5	reviewed	nucleic acid binding [GO:0003676]; protein homodimerization activity [GO:0042803]; zinc ion binding [GO:0008270]
Q9VKM6	reviewed	DNA binding [GO:0003677]
Q9VNF6	unreviewed	chromatin binding [GO:0003682]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
A1A714	unreviewed	carbohydrate binding [GO:0030246]
Q9VIY9	unreviewed	nucleic acid binding [GO:0003676]; transcription corepressor activity [GO:0003714]; zinc ion binding [GO:0008270]
A1YK56	unreviewed	structural constituent of nuclear pore [GO:0017056]
O44424	reviewed	
P02844	reviewed	carboxylic ester hydrolase activity [GO:0052689]
Q95TK5	unreviewed	acyl-CoA hydrolase activity [GO:0047617]
Q9VWG6	unreviewed	transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]
Q9W2N5	unreviewed	
A1Z6E0	reviewed	ubiquitin-protein transferase activity [GO:0004842]
A1Z6K2	unreviewed	
A1Z7R9	unreviewed	metal ion binding [GO:0046872]
A1ZBL9	unreviewed	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; tau-protein kinase activity [GO:0050321]
B7Z0M0	unreviewed	SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]
C6SUW9	unreviewed	DNA binding [GO:0003677]
O97143	reviewed	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
P04412	reviewed	ATP binding [GO:0005524]; epidermal growth factor-activated receptor activity [GO:0005006]; identical protein binding [GO:0042802]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; transmembrane signaling receptor activity [GO:0004888]
P05552	reviewed	DNA binding [GO:0003677]
P23573	reviewed	ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]
P25007	reviewed	peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; unfolded protein binding [GO:0051082]
P40657	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]
P46824	reviewed	microtubule motor activity [GO:0003777]
Q6AWH2	unreviewed	
Q7JWD6	unreviewed	
Q7K306	unreviewed	ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]
Q7KJ69	unreviewed	
Q8MQJ7	unreviewed	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; ubiquitin-like protein binding [GO:0032182]
Q961G6	unreviewed	
Q9I7K6	reviewed	histone binding [GO:0042393]
Q9V3M2	unreviewed	
Q9VC43	unreviewed	
Q9VCW3	reviewed	structural constituent of nuclear pore [GO:0017056]
Q9VCY7	unreviewed	3-oxo-arachidoyl-CoA synthase activity [GO:0102336]; 3-oxo-cerotoyl-CoA synthase activity [GO:0102337]; 3-oxo-lignoceronyl-CoA synthase activity [GO:0102338]; fatty acid elongase activity [GO:0009922]; very-long-chain 3-ketoacyl-CoA synthase activity [GO:0102756]
Q9VCZ7	unreviewed	
Q9VD82	unreviewed	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein serine/threonine kinase activity [GO:0004674]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]
Q9VH69	reviewed	structural constituent of ribosome [GO:0003735]; zinc ion binding [GO:0008270]
Q9VIF2	unreviewed	catalytic activity [GO:0003824]
Q9VJ55	unreviewed	nucleic acid binding [GO:0003676]
Q9VMA3	reviewed	RNA binding [GO:0003723]; translation regulator activity [GO:0045182]
Q9VNE1	unreviewed	
Q9VQI9	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; double-stranded DNA binding [GO:0003690]; RNA polymerase II sequence-specific DNA-binding transcription factor binding [GO:0061629]
Q9VVN4	reviewed	
Q9W5N2	reviewed	structural constituent of ribosome [GO:0003735]
Q9XZC2	unreviewed	RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]
A1Z6E8	unreviewed	
O77430	unreviewed	
P11929	reviewed	microtubule binding [GO:0008017]
P54366	reviewed	protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; sequence-specific DNA binding [GO:0043565]
Q0KHR4	unreviewed	
Q9V472	unreviewed	metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]
Q9VBI1	unreviewed	
Q9VCD5	unreviewed	damaged DNA binding [GO:0003684]; polyubiquitin modification-dependent protein binding [GO:0031593]; proteasome binding [GO:0070628]; ubiquitin binding [GO:0043130]
Q9VHM3	unreviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II core promoter sequence-specific DNA binding [GO:0000979]; zinc ion binding [GO:0008270]
Q9VI55	reviewed	transferase activity [GO:0016740]
Q9VIJ0	unreviewed	glyoxylate reductase (NADP) activity [GO:0030267]; hydroxypyruvate reductase activity [GO:0016618]; NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; protein homodimerization activity [GO:0042803]
Q9VJ29	reviewed	
Q9VJB0	unreviewed	zinc ion binding [GO:0008270]
Q9VJE7	unreviewed	protein phosphatase inhibitor activity [GO:0004864]
Q9VLT7	unreviewed	structural constituent of ribosome [GO:0003735]
Q9VR29	unreviewed	ATP binding [GO:0005524]; ATP-dependent 3'-5' RNA helicase activity [GO:0034459]; helicase activity [GO:0004386]; RNA binding [GO:0003723]
Q9VVC2	unreviewed	
Q9VXF4	unreviewed	
Q9W4K1	unreviewed	protein transporter activity [GO:0008565]
Q9W5G0	unreviewed	
A1Z6G4	unreviewed	
P42570	reviewed	
P48609	reviewed	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein serine/threonine kinase activity [GO:0004674]
P91654	unreviewed	cyclin-dependent protein serine/threonine kinase inhibitor activity [GO:0004861]
Q24276	reviewed	chaperone binding [GO:0051087]; heat shock protein binding [GO:0031072]; protein kinase binding [GO:0019901]; protein tyrosine kinase activator activity [GO:0030296]; unfolded protein binding [GO:0051082]
Q9V9R2	unreviewed	ubiquitin protein ligase binding [GO:0031625]
Q9VI13	unreviewed	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; Rac GTPase binding [GO:0048365]; Rho GTPase binding [GO:0017048]; SH3 domain binding [GO:0017124]
Q9VIH1	unreviewed	damaged DNA binding [GO:0003684]; double-stranded DNA binding [GO:0003690]; G-rich strand telomeric DNA binding [GO:0098505]; sequence-specific DNA binding [GO:0043565]; single-stranded DNA binding [GO:0003697]
A1Z6G6	unreviewed	
Q9W5X9	reviewed	tubulin N-acetyltransferase activity [GO:0019799]
A1Z6G9	unreviewed	
A1Z6H0	unreviewed	
Q8SXP8	unreviewed	distal enhancer DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001205]; double-stranded DNA binding [GO:0003690]; GU repeat RNA binding [GO:1990605]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]
Q9VCR6	reviewed	protein-containing complex scaffold activity [GO:0032947]
W8PHN8	unreviewed	protein-containing complex scaffold activity [GO:0032947]
A1Z6H7	unreviewed	
Q9VQA2	unreviewed	
A1Z6I7	unreviewed	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]
O76523	unreviewed	ubiquitin binding [GO:0043130]
P20439	reviewed	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]
Q7K0W4	unreviewed	
Q867Z4	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]
