P45985	Q14315
P53365	P62330
P52298	Q09161
Q6P1K2	Q16236
Q9NZJ5	Q16236
P78352	P48050
P16333	P54762
Q8N4C8	P16333
P46063	O00629
P46063	P52292
Q15303	P78352
Q15303	P46937
O75925	P42224
P49137	P29353
P78352	P63252
Q96SB3	Q13009
P26599	P14866
P80217	Q13287
P49810	Q9Y2W7
P46527	Q9UKX7
P53667	Q13873
O15357	Q9BX66
Q9Y618	Q96T58
Q9Y618	Q05516
P49918	P53667
Q16739	Q16799
Q13562	P54257
P54257	Q14203
P54257	O14964
P53618	Q9Y678
P53618	Q9UBF2
Q9UM54	P98082
Q9NPI6	Q13485
Q12830	P56270
Q9Y624	Q07157
P78536	Q12959
Q86SQ9	P61916
O15085	O43157
Q16548	Q92934
P62312	P62316
Q9UK45	P62318
P62310	P62318
Q5T2W1	Q92887
Q9BY67	Q13368
Q9Y6W6	P45983
P62826	P43487
Q99741	Q13416
Q13416	Q9UBU7
O43294	Q14289
Q9UMX0	P42345
O00499	O95219
P63104	P56945
P36894	Q15427
P98161	P49802
Q76N89	O14640
Q8NEZ2	Q99816
Q92993	P41212
P10244	Q969S3
Q9HB71	P63208
Q13257	Q92731
P37231	Q13772
Q99933	P11142
O75807	Q99933
Q13322	Q6Y7W6
Q92786	Q09472
P54253	Q9NRR5
P54253	Q93009
Q15910	O75530
Q07666	Q13702
Q99967	Q92754
O14807	Q12967
P06401	Q05086
P54725	P55036
P54727	P55036
P10828	P62195
Q9BWF2	Q13077
Q5T1R4	Q13077
Q9UBF6	Q93034
Q13263	Q15047
O00623	O60683
O00287	P48382
Q5T1R4	Q12933
Q9BWF2	Q12933
Q92843	O43521
Q9UGK3	Q13882
Q14005	O14974
Q06587	O00257
P63000	P52306
P63000	P53365
Q8NER1	Q86SS6
O75410	O95619
O14744	P54105
Q8IUQ4	Q14807
Q86TG7	Q8IUQ4
Q8IUQ4	Q9HB71
Q86TG7	O43255
O15265	O43186
P46934	P62837
Q13418	Q9H0C8
Q13418	P48059
P50570	Q9Y566
P50570	Q9UPX8
Q13867	P63279
Q14738	P61296
P13569	Q9HD26
O15126	Q15811
Q8WWN9	Q99418
P48552	P51843
O94992	O60563
P49798	P35606
Q99759	Q13163
O00161	O95295
Q9H6Z4	O14980
Q08379	Q9H8Y8
P61326	Q9Y5S9
Q9UHC3	Q96QZ7
Q9NPH3	Q9H0E2
Q12972	O75530
O43924	Q92730
Q13017	P61587
Q99729	Q9H3D4
Q96RI1	Q15788
P25205	P33992
P25205	O75419
P25205	O43913
P25205	O43929
Q09472	Q99967
Q99767	O94985
O15117	Q86WV1
Q9Y478	P54619
Q9Y478	Q9UGJ0
O43741	P54619
O43741	Q9UGJ0
P54619	Q9UGJ0
Q99666	Q92973
Q9Y6K1	P63279
P10828	Q9H0E9
P78317	Q9HBE1
Q9UNY4	Q99459
O60437	Q674X7
Q15424	Q14151
Q9UPT6	P53779
P53779	Q9UPT6
Q15759	O15379
Q8N2W9	O15105
Q15654	Q9HBW0
P50458	Q99967
O75461	Q8N488
P56282	O00422
P62324	Q99873
Q8N8S7	Q8IZP0
Q14511	P84022
Q9UBF6	Q13616
Q9UQ35	Q9H307
Q07820	Q92934
Q9UER7	Q96EZ8
P53602	O14981
O15360	P51532
Q14155	Q9UPX8
Q96RU3	O95271
O15392	Q96GD4
Q93038	Q15628
Q9Y572	Q13546
Q9UDY8	O95999
Q96LW7	O95999
P61966	O43747
P56377	O43747
P56377	O75843
O75379	Q9BXS5
Q9UBB5	Q9HCN4
Q8WWY6	O95983
O94941	P68036
Q5T2W1	Q9H015
Q5T2W1	O43572
Q13113	Q5T2W1
Q5T2W1	Q96S37
O00429	P49841
O94992	O60583
Q9UBF6	Q13619
Q9UBF6	Q13617
P51159	Q96C24
Q13895	Q12815
P49758	Q9NPF5
Q00722	Q96QT4
Q99569	Q96RT1
O15085	O15031
Q9Y678	Q9UBF2
A5D8V6	O14964
Q14344	O75969
O75791	Q13480
O75791	O95273
Q9UJX4	P11940
O60784	Q9H0E2
Q9UNY4	Q9H078
O75716	Q9UJ70
Q9Y2A7	Q8IZP0
O95257	Q8TAE8
Q9UNF0	Q9UKS6
O14795	O15020
P48048	O14745
Q14155	Q9Y566
P41271	Q9UMX0
Q9UMX0	P07237
Q15075	Q9UL26
O94763	Q9NPF5
Q969H4	Q9NS23
Q9UKK3	Q14764
O75530	Q92769
Q9NRI5	Q99689
Q9Y5X1	Q13444
Q86YS3	P62491
P17081	Q9HD26
P17081	Q9UPT5
Q96BK5	Q96EZ8
Q9BY11	Q9UKS6
Q9H3M7	Q9Y2Y4
O95196	Q9HD26
Q9UHC3	Q9HD26
Q96JZ2	Q07912
O94829	P26367
Q9NQ66	Q96QT4
Q9Y5N6	O00311
Q9UPM8	Q9Y6B7
Q9BS16	P35712
O15116	Q9Y333
Q9Y333	O95777
Q9Y333	P62310
Q9Y333	Q9UK45
P62310	Q9UK45
P62310	Q969L4
Q9H8V3	Q9NPB6
Q9UJY1	P04792
Q9P2T0	P48643
Q13136	Q9Y2X7
P10276	Q05516
Q92890	Q8TAT6
Q96RU7	P18848
Q8IUM7	Q9HBZ2
P10828	Q15596
Q99684	Q9Y6X2
Q14511	Q96J02
Q96RS0	O75530
Q99417	Q8TBZ2
Q08397	Q9UBX5
P02795	Q15139
P12931	P03891
Q9Y3C5	P42566
P48048	Q15599
Q92813	Q8TEY7
Q9NS56	P63279
O15534	Q16526
O15055	Q16526
O00327	Q16526
Q9NVV9	Q96IZ0
Q8NC51	Q12873
Q00613	Q92797
O60941	Q12840
P33991	O00311
P63244	Q92636
Q99708	P61968
P24864	Q13618
P26885	O43491
P42261	O43491
O15018	Q9UQB3
P63215	O14775
O14775	O60262
Q9Y2I7	Q7Z6M1
Q99523	Q9UJY4
Q5RKV6	Q96B26
Q5RKV6	Q15024
Q96IT1	Q96L73
Q8TB72	Q8WY41
Q9UNL4	Q04206
Q9Y678	P61923
Q9Y678	Q9P299
Q8IYI6	Q96KP1
Q9UHC3	Q9HAP6
Q8TDR4	Q14582
Q92730	Q5T124
Q9UKY1	Q9H4I2
P49137	Q8IXK0
O00311	Q9UBU7
O15511	P59998
Q96KR7	P62136
Q8NFD5	P51532
O94906	Q9NX01
Q13136	O15083
O15083	O75335
Q9UI08	Q6XZF7
Q8NEZ2	Q9UK41
Q9P0L9	P19429
Q59H18	P19429
Q9H8V3	Q9Y2M5
Q15543	Q12962
Q5RKV6	Q9Y3B2
O94921	Q92599
Q9UKI8	Q9Y294
Q9UKI8	Q9NVP2
Q7Z5G4	Q08378
Q9BYE9	Q6P0Q8
P18615	Q8WX92
Q9Y333	O95777
Q9Y333	P62310
Q9Y333	Q9UK45
O95870	Q99942
P67870	P19784
P67870	P46777
Q12933	Q99618
Q13137	Q96S44
Q14533	Q9BQD3
P60709	P23528
P25791	Q15555
Q12933	P24278
P98175	Q9UKA9
P57060	O95257
O15162	Q16630
O00214	Q13137
Q15038	Q96GG9
Q13137	Q8TES7
Q9Y6E0	Q9BUL8
P53567	P55198
O14964	Q9UPT5
Q9NWS9	Q9H4T2
Q15834	Q7Z3B3
Q9BQD3	Q9GZQ8
P18848	Q13227
P21673	Q96I25
Q12933	Q9NVF7
P41743	Q9NPB6
Q93062	Q96SI9
Q93062	Q86UW9
Q93062	Q9H0E2
P32242	Q9BQ66
P46976	P13807
Q9NP66	Q96BS2
P56597	Q8WWB3
Q9BXS5	Q96CG3
O95751	Q8TBB1
Q92934	P31947
P08670	O95251
Q8N6Y0	Q8WWB3
P24522	Q13561
Q9NX65	Q9NWS9
P04259	P19012
Q96HA1	O95994
Q9NZ81	Q53G59
Q8WUB8	Q969R5
P62760	Q86UW9
P43355	Q9NQG6
P37198	Q7Z3B4
Q9UH92	P60520
O43663	Q8N6Y0
P40426	Q6RW13
O75928	Q8IVL1
Q6ZU52	O60504
Q9UKG1	Q8NEU8
Q16526	O15162
P51946	O60232
Q9UNK0	Q9UEU0
P52789	Q9UMX0
P60709	Q9Y281
P43364	Q8IXB1
Q9NVV9	Q86SE5
P56545	Q9UIF8
P63279	Q8NDC0
O75340	Q9Y5Z4
O94972	Q9H5Z6
Q15038	Q6P1W5
Q13526	Q12933
Q9BWD3	Q9UMX0
O43739	Q969H4
Q8NHQ8	Q96NE9
Q96G97	Q96HH6
Q15006	O43402
Q9BXS5	P51116
Q96G97	Q9BZL3
P25208	Q14919
Q9UL45	Q96BD8
O60941	P37198
Q9BQD3	Q96LK0
O43765	P10451
Q15834	Q8N8B7
Q99750	Q9H5Z6
P04637	Q96M61
P62308	Q96D03
Q99750	Q8TAI1
Q9UNK0	O43889
P07910	O00505
P62324	Q9UFF9
P31269	Q15654
P78362	P26368
O96015	Q96FJ2
Q92609	P60520
O60568	Q9BQY4
Q9UNF0	Q9BY11
Q93062	Q96K80
Q13501	P60520
O43765	Q9Y624
Q99750	Q02040
P35638	Q9BPX1
P53992	Q15437
Q13526	Q9Y3Q8
P68402	Q15102
Q99750	Q8TBE0
P63261	Q9Y281
O76083	Q13049
Q14847	Q15645
Q13426	Q0D2I5
P43378	O95197
Q9NZD8	Q53H80
Q8WU10	Q96BW1
Q9BPX1	Q96HA8
Q13409	P51808
Q9NZN8	O75175
P50402	Q969F0
Q8IYF3	Q5JVL4
O75528	Q96ES7
P43358	P14927
Q9UBT2	Q9UBE0
P04899	Q99750
Q99259	P46952
Q93062	Q9BQY4
P21964	Q15645
Q06455	Q9P2A4
Q9H0E2	Q9BQY4
P98170	Q96HA8
P48775	O95671
O75525	Q8TBE0
P51668	Q9HCM9
O43617	O75865
Q16630	Q9H0M0
Q14061	Q9BW62
Q99750	Q15475
P23297	P25815
P28749	Q9BUH8
Q16851	O95376
Q13049	Q9UMX0
Q15038	O75886
P36406	Q0VDD7
Q01826	P63279
Q13526	Q7Z5J4
Q9Y577	Q9HCM9
Q92530	O75525
Q9NWS9	Q96IT1
Q12933	Q05516
Q6P1W5	Q8NDC0
Q15645	Q96LM6
P43686	P62195
Q01105	Q9BT49
Q13191	Q9H8Y8
O76071	Q9Y3D0
Q99750	Q5T681
P43364	Q96AJ1
O95967	Q96EQ0
P61457	P51116
O94972	O95990
P19012	Q9BT92
Q9UI36	P63279
P43364	Q16206
Q9UPT5	Q8IY31
P14373	Q8TES7
P63010	P40692
Q15645	Q15013
P98170	Q96FJ2
Q99750	Q8IYX3
Q08379	P15622
P54652	Q9NZL4
O14764	Q9UMX0
P19012	Q96ES7
P14373	Q05516
P19012	Q53FD0
P63010	Q9BXS5
P63261	P23528
Q9UMX1	Q8NEA6
Q99750	O43167
O14964	Q8N6Y0
Q7Z6G3	Q9BU64
Q12933	Q9H0I2
Q12933	Q9NZD8
P26599	P09012
P40692	Q14134
Q9Y6C2	Q96QG7
Q15427	O75177
Q12933	Q8N9N5
P61289	Q8TBK6
Q86U70	Q9BWG4
Q99816	Q6UWE0
P25791	P42224
Q7Z6G3	Q96HA8
Q15645	Q6BCY4
Q12933	O43734
Q9UM19	Q86UW9
P15531	O00746
P09012	Q9BQ61
O95379	Q9NPJ6
Q96KQ7	Q5JSZ5
Q53G59	Q7Z614
Q14919	Q9NRF9
P10124	O43765
P63010	Q16626
Q96QU8	P37198
Q9UBQ5	Q9Y262
Q12846	O75379
Q9H190	Q96CG3
P18848	O95751
Q9UBL3	Q9C005
Q99418	Q96HB5
P38936	Q8IYF3
Q9UQB8	Q9NZQ3
P09914	O14879
P21673	Q9BQ70
P60709	P60981
P29972	Q99750
Q07352	Q16539
Q15834	Q9NX63
Q15046	Q13155
Q13247	Q15287
P45984	Q9C0F1
P63279	Q13422
Q99750	P55055
Q93062	Q6P1W5
P51116	Q5T681
Q14738	Q13136
Q12933	Q9UHB7
P0CG48	Q15038
O75525	Q8N5R6
O95751	Q7L190
Q16665	O60224
Q9P0T4	Q9BRK4
O75791	Q93062
P36575	O14641
Q9UI14	Q8NI60
O43189	Q93062
P49761	Q9BUV0
P07910	Q96IZ5
P43364	Q7Z614
Q9NWT6	Q96DX5
P61978	P43243
P38159	Q5VWX1
Q99750	P24278
P49910	P13994
P19012	Q7Z3B3
Q9NXR7	Q9NWV8
Q13526	Q8NF64
Q13432	Q96GX8
P47804	Q96EK5
P17040	P57086
Q99750	Q8NA54
P11802	P55273
Q9UI14	Q9NZD8
Q9HCM9	Q9HAC8
P60953	Q00587
Q8WYJ6	Q14141
Q12933	Q5T124
Q15637	Q92841
Q8IYF3	Q9Y3Q8
O95990	Q8N6Y0
Q92841	Q9Y2W2
Q99750	Q9H0I2
Q8N6Y0	Q8TES7
Q8IYF3	Q9P218
Q9UMX0	Q96DC7
Q9Y467	Q8TAP6
Q9NS73	Q9GZM8
P31947	O00444
P09913	O14879
P56545	Q9Y5P3
Q01844	Q9H869
Q13137	Q9Y4Z0
P26368	Q9UHX1
P14868	Q13155
Q9NZD8	Q9NRF8
O60941	Q12933
Q15102	Q8TBB1
P53816	Q9UMX0
Q8NEF3	Q8N6V9
Q9H190	Q9NP64
P43364	Q8N490
Q9BT78	Q8N6Y0
P52306	Q9NS73
O60573	Q9NRA8
Q92624	Q96S15
Q9UNT1	Q96LK0
P08670	P35900
P54725	Q13501
P60896	Q5JVF3
P05161	Q9UMW8
P19012	Q9P2K3
P60880	O75558
Q9UJY1	Q9UBY9
P49247	Q96HA8
P19012	P35900
P09493	Q9BQD3
P83876	Q8TAI7
Q9UJ83	Q96E35
Q9Y2I6	Q9BRK4
Q99750	Q9BR84
P60228	Q9HC44
Q12933	Q9NRN7
P14136	P08670
Q16630	Q9H6L4
Q9NWT6	Q8TES7
Q9UI36	Q9UJ70
P31947	P27448
Q9BQD3	Q8IY31
O14641	Q96CG3
Q9NVV9	Q9BU76
Q13137	P60520
P12277	Q96DX5
Q96GG9	Q9HCM9
Q92871	P20340
O15287	O96006
P49910	Q9NWS9
P61978	Q9BTD8
Q13895	O94972
O75909	Q93062
Q12933	Q9BT49
Q13287	O14964
P51946	P25786
O43809	Q8N684
P0CG47	Q15038
Q93062	Q9P0T4
P43364	Q9Y6M9
P46379	Q53G59
O15162	Q8WWR8
Q13257	Q9Y3Q8
Q13501	Q9H0R8
P49407	Q14749
O14777	Q9Y3C0
P62854	Q969E8
P62166	Q86UW9
O95198	Q53G59
Q9H0L4	Q9UMX0
Q99961	Q9H788
O75800	Q9Y3Q8
Q9BW83	Q9Y547
P61964	Q9NS73
P02538	Q15834
Q8IUQ4	Q9UHB7
Q9UJX2	Q93062
Q86UW9	Q8HWS3
Q15038	Q9H0E2
Q99750	Q96SK3
Q8NEU8	Q9UL26
Q99750	P32242
P63279	Q9UKT9
P50402	O43889
Q96CW1	Q59EK9
Q01844	P62899
P07910	P01116
P26367	O94829
P62258	O94875
Q01844	Q15906
Q99750	Q13526
Q12933	Q9UKG1
Q15645	Q8TBB1
O14964	A9UHW6
Q12933	Q9H8Y8
P60520	Q9BXK5
Q9NWT6	Q8WXK3
P19012	O75604
Q96CN9	Q8TES7
P51668	Q9BV68
P45984	Q15427
O60763	Q6P1W5
Q9Y248	Q9BRT9
P19012	Q8TAB5
Q12933	Q9Y4K3
P27482	Q9H0B3
O14978	Q9NWS9
P10276	P48443
O43617	Q9UL33
P56545	O94818
Q14134	Q9BRK4
Q92997	Q53G59
P51116	Q9UIC8
Q13418	Q9NVD7
P30304	P41227
Q9UHX1	Q969J3
P43364	P58340
P43364	Q68CQ4
Q96H20	Q9BRG1
P49902	Q9Y5B8
P62263	Q16594
O76003	Q9BQ66
Q15561	Q9GZV5
Q92844	Q5D1E8
O60568	Q96KQ7
P63010	Q5SW96
O43639	Q9NYB9
O95197	Q9NQC3
Q15038	Q8WV99
Q9Y2X8	Q9HCM9
Q04695	Q15834
Q01844	Q9UEE9
Q9NRG1	Q96G04
P06753	Q9BQD3
O43765	O95967
Q15025	Q96M61
Q9UI14	Q8TBB1
Q8TBN0	Q96QF0
Q9BY43	Q9BSW7
P25791	Q9UPY8
P15531	O15160
O15372	Q9P2A4
Q15654	Q8NEC5
O95751	Q5VWN6
P49366	Q9GZV4
Q01844	P49910
P61457	Q8TBB1
Q15019	Q14141
O60260	Q15645
Q99750	Q96C28
P07910	Q86SE5
Q9NWS0	Q9Y3Q8
Q15654	O43639
P45973	Q9BWN1
Q9UMX1	Q96D15
O14964	O95751
Q16512	Q15834
Q9Y5B8	Q9BT92
P00492	Q96HA8
P49366	P32969
Q99750	Q8NDP4
P02538	P19012
Q9Y467	Q8NF64
Q13643	Q13155
Q15154	Q9Y3C0
P78337	Q93062
Q93045	Q8IYF3
Q13232	O43765
Q9BXC9	P61289
Q9BQY4	Q8WWR8
P60709	P63261
O43707	Q9NPC6
O14639	O95751
Q15006	Q9Y3B6
P17028	Q9NWS9
Q15038	O43251
Q99750	Q96HB5
Q14134	Q96CN9
P78368	Q9Y5P4
P43355	Q9BZY9
P40692	O75152
Q15056	Q9H3H3
Q15645	Q8IVS8
Q6UY14	Q9BQ66
Q9UJ70	Q8TBB1
P10276	P28702
P63010	Q9NVV9
Q9UJW9	Q8N6Y0
P84101	Q93062
Q99750	Q3YEC7
Q12933	Q6FIF0
O75506	Q9Y3C0
P62195	P35398
Q9Y312	Q56P03
P30281	Q96EV8
Q96E35	Q8WZ19
Q13485	O15198
P29692	P26641
P46108	Q7L190
P30279	P38936
O94855	Q15437
O00148	P82979
P57077	Q8N5C8
P57086	Q9NX65
P23434	Q13287
O43488	O95154
Q96GY3	Q8IYF3
Q99750	Q5TAQ9
Q8TBB1	Q96M61
Q13155	Q8TBB1
O76083	Q96FC7
Q7Z6G3	Q9P2K3
Q9UBU8	Q96HT8
P43364	Q9NXH9
Q9Y295	Q9H446
Q96CV9	Q9Y3C0
Q96GX9	Q8TBB1
P49639	Q9BQ66
Q9UNY5	Q9NWS9
Q9Y2X8	Q86UW9
Q14687	Q9P2K3
Q9UI14	Q9UNI6
Q9H267	Q9H9C1
Q9Y2X8	Q9BV68
Q12933	O75604
P19012	Q9BVI4
Q15427	Q13435
Q99750	Q9UQ90
P60520	Q9GZZ9
O94972	O43663
P37198	Q9Y3C0
O14978	Q8WV44
P19012	Q9BTA9
P14136	Q96HL8
Q99750	P52737
P63010	Q9NVZ3
Q96EZ8	Q15834
Q7Z6G3	Q8TBB1
Q06455	Q0VDD7
Q92624	Q15050
P60891	Q9NZD8
O15155	Q8N6Y0
Q8IYF3	Q5T013
Q9UKF7	Q6RW13
P43364	Q8N131
P43364	Q9BXY8
P50402	Q8N7W2
P56597	Q96IM9
O75716	P49247
Q9UJW3	Q9UHA3
P49674	O14641
Q15834	Q9UFG5
P43364	Q9BQ70
Q99750	Q9H7H0
P24534	P26641
P26641	Q12905
Q15038	Q9BSL1
Q9NYL2	Q8N184
Q99750	O95336
Q12846	Q15836
O00161	O76038
Q9H9D4	Q8NHQ1
Q9NR12	O00308
P21673	Q8TBB1
P36575	Q96IT1
Q6IA69	Q96JP2
Q12983	P17152
P16444	Q96EK5
O43639	Q9NZQ3
Q9UKI8	Q9Y294
Q15645	Q96JB6
O75716	Q8N5Z5
P56545	Q15583
P43355	Q9NR46
P63279	Q9H444
P61601	Q86UW9
P62195	P13805
P33993	Q9NS73
Q9Y5P3	Q96EQ0
O75461	Q14186
Q93062	Q96LM6
Q9UHY1	Q9Y3Q8
P46108	P62333
O14641	P04637
P62829	Q9P287
Q9NTM9	Q9NZD8
O00506	Q9BUL8
Q9C040	P78324
P43364	Q8TDX5
Q08379	Q14134
Q96ED9	Q8N5R6
Q9Y580	O75525
Q99750	Q9NQX5
P43364	Q8IYD9
P55735	Q96JE7
Q8TBK6	Q96MF2
Q86U70	P81877
Q15038	Q9BQY4
Q9UMX1	Q96H86
O14641	O95817
Q9UMX0	Q9NPQ8
P43358	Q86WT6
Q9Y2J4	P35900
P57086	Q9P0L1
Q9Y230	Q9BVM2
P56279	Q13137
Q13287	Q8N4P3
Q13200	Q8WVY7
O14978	P57086
Q96ED9	Q9H8T0
P49760	P49761
Q99750	Q8TAU3
Q9H190	Q9NZ81
Q9UKK6	Q9H4D5
Q99750	Q9H1D0
Q9NYB9	Q8IY31
Q14134	Q8NHQ1
O14964	Q15038
P61978	O75525
P61978	Q5VWX1
Q99750	Q92692
P17028	Q9NX65
O43809	Q16630
Q01844	Q9Y676
P63279	O96006
Q7Z6G3	Q7Z3B3
Q96GM5	Q13137
Q9BT78	Q0VDD7
Q9Y3C4	Q96S44
Q9BXS5	Q59EK9
O75830	Q9UMX0
Q96EZ8	Q9Y3C0
Q12983	O60238
O14879	Q05D60
Q01844	Q9H467
Q96GT9	Q96KQ7
Q9UMX0	O95967
O43765	Q9BXJ1
Q8N6Y0	Q8TAB5
Q16594	Q14919
P41220	Q9Y2I6
P36406	Q9P0T4
Q9UJ41	Q9BQD3
Q9NS73	Q9H8W4
Q01658	Q9NRF9
Q13190	P54920
Q9HC98	Q7Z6G3
Q9NZD4	Q5D1E8
Q9BU20	Q9BT04
O94972	Q8TAU3
Q8N612	Q96HR9
Q13137	Q9BVV2
Q99816	Q53EZ4
P28702	O43791
Q99750	Q8IYI8
P14317	Q9H788
P43364	Q96JH8
O15389	Q15645
Q9UI14	Q9NRS6
O14576	Q9NP97
Q06455	Q7Z6G3
