Entry	Status	Gene ontology (cellular component)
P55853	reviewed	chromosome [GO:0005694]; cytoplasm [GO:0005737]; microtubule organizing center [GO:0005815]; nucleus [GO:0005634]; spindle [GO:0005819]
A5JYU6	unreviewed	integral component of membrane [GO:0016021]
O18302	unreviewed	Golgi apparatus [GO:0005794]
A5JYV4	unreviewed	nucleus [GO:0005634]
O44750	reviewed	cytoplasm [GO:0005737]
A5JYW2	unreviewed	cytoplasm [GO:0005737]
W6RTA4	reviewed	presynaptic active zone [GO:0048786]
A5JYW9	reviewed	chromatin [GO:0000785]; Sin3 complex [GO:0016580]
G5ECU7	reviewed	nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]
H2KYD4	unreviewed	
H2KZM4	unreviewed	nucleus [GO:0005634]
O16850	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
O17670	reviewed	nucleus [GO:0005634]
O18214	reviewed	nucleus [GO:0005634]
O62159	unreviewed	nucleus [GO:0005634]
P41828	reviewed	nucleus [GO:0005634]
Q09602	reviewed	nucleus [GO:0005634]
Q18056	unreviewed	nucleus [GO:0005634]
Q18225	unreviewed	nucleus [GO:0005634]
Q18711	unreviewed	MLL1 complex [GO:0071339]; nucleus [GO:0005634]; RNA polymerase II transcription factor complex [GO:0090575]
Q19418	unreviewed	
Q19496	unreviewed	nucleus [GO:0005634]
Q9NAE4	unreviewed	nucleus [GO:0005634]
Q9TXN8	unreviewed	nucleus [GO:0005634]
Q9TZ37	unreviewed	
A5JYZ2	unreviewed	
P46769	reviewed	cytosolic small ribosomal subunit [GO:0022627]
A5PEW5	unreviewed	plasma membrane [GO:0005886]; presynapse [GO:0098793]; SNARE complex [GO:0031201]; synapse [GO:0045202]
Q9TZM9	unreviewed	Cdc73/Paf1 complex [GO:0016593]; integral component of membrane [GO:0016021]; transcriptionally active chromatin [GO:0035327]
A5PEX5	unreviewed	basolateral plasma membrane [GO:0016323]; cell-cell junction [GO:0005911]; MPP7-DLG1-LIN7 complex [GO:0097025]; presynapse [GO:0098793]; synapse [GO:0045202]
P54936	reviewed	cell junction [GO:0030054]; plasma membrane [GO:0005886]
Q9U9K0	reviewed	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; plasma membrane raft [GO:0044853]; postsynaptic density [GO:0014069]
A6ZJ46	unreviewed	
G5EC62	unreviewed	integral component of membrane [GO:0016021]
G5EFL5	unreviewed	striated muscle dense body [GO:0055120]
H2KYV3	unreviewed	microtubule cytoskeleton [GO:0015630]; septin complex [GO:0031105]; septin filament array [GO:0032160]; septin ring [GO:0005940]
H2KZI6	unreviewed	nucleus [GO:0005634]
K8FDY0	unreviewed	
O17173	unreviewed	nucleus [GO:0005634]
O17605	unreviewed	
O44577	unreviewed	nucleus [GO:0005634]
O44606	unreviewed	
O62203	unreviewed	nucleus [GO:0005634]
O62235	unreviewed	nucleus [GO:0005634]
P34402	reviewed	centriole [GO:0005814]
P91561	unreviewed	
Q09607	reviewed	
Q17796	unreviewed	early endosome [GO:0005769]; endosome membrane [GO:0010008]; ESCRT-0 complex [GO:0033565]
Q17865	reviewed	apical plasma membrane [GO:0016324]; cell cortex [GO:0005938]; nucleus [GO:0005634]
Q18412	reviewed	chromosome, centromeric region [GO:0000775]; nucleus [GO:0005634]
Q20435	unreviewed	
Q22166	unreviewed	
Q22696	unreviewed	
Q8MLZ5	reviewed	cytoplasm [GO:0005737]
Q8MYM0	unreviewed	
Q9XUE3	unreviewed	endoplasmic reticulum [GO:0005783]; nucleolus [GO:0005730]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
Q9XVN3	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
A6ZJ71	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
O01879	unreviewed	Golgi apparatus [GO:0005794]; integral component of Golgi membrane [GO:0030173]
A7DTF0	unreviewed	autosome [GO:0030849]; histone acetyltransferase complex [GO:0000123]; NuA4 histone acetyltransferase complex [GO:0035267]
G5EC16	unreviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
G5EGP2	unreviewed	nucleus [GO:0005634]
J3K004	unreviewed	
O02365	reviewed	hemidesmosome [GO:0030056]; intermediate filament [GO:0005882]
P34537	reviewed	nucleus [GO:0005634]
P48152	reviewed	cytosolic small ribosomal subunit [GO:0022627]; nucleus [GO:0005634]
Q20298	unreviewed	
Q21295	unreviewed	nuclear envelope [GO:0005635]; nuclear pore central transport channel [GO:0044613]
Q22835	reviewed	nucleus [GO:0005634]
Q23403	unreviewed	NuA4 histone acetyltransferase complex [GO:0035267]
Q8IG69	unreviewed	nucleus [GO:0005634]
Q9XUS9	unreviewed	centralspindlin complex [GO:0097149]; mitotic spindle midzone [GO:1990023]; plasma membrane [GO:0005886]; spindle midzone [GO:0051233]
A7DTF5	unreviewed	
E2JL04	unreviewed	cytosol [GO:0005829]; mitochondrion [GO:0005739]
Q19286	reviewed	apical cortex [GO:0045179]; intermediate filament [GO:0005882]; terminal web [GO:1990357]
Q19289	reviewed	apical plasma membrane [GO:0016324]; cytoplasm [GO:0005737]; intermediate filament [GO:0005882]
A7LPD5	unreviewed	
Q9U2T9	unreviewed	endocytic vesicle [GO:0030139]; plasma membrane [GO:0005886]; presynaptic periactive zone [GO:0036062]
A7UQ09	unreviewed	integral component of membrane [GO:0016021]; presynaptic active zone [GO:0048786]
Q0PJA9	unreviewed	
Q5WRR6	unreviewed	cell body [GO:0044297]; cytoplasm [GO:0005737]; dystrophin-associated glycoprotein complex [GO:0016010]; intracellular [GO:0005622]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; sarcomere [GO:0030017]
Q86NH1	reviewed	cell junction [GO:0030054]; neuron projection [GO:0043005]; presynaptic membrane [GO:0042734]; synapse [GO:0045202]
A8DYS0	unreviewed	nucleus [GO:0005634]
D4YW53	unreviewed	nucleus [GO:0005634]; P granule [GO:0043186]; ribonucleoprotein complex [GO:1990904]
O45189	unreviewed	nuclear speck [GO:0016607]; ribonucleoprotein complex [GO:1990904]
Q20084	unreviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]
Q21952	reviewed	condensed nuclear chromosome kinetochore [GO:0000778]; kinetochore [GO:0000776]; Ndc80 complex [GO:0031262]
A8WFH5	unreviewed	endoplasmic reticulum [GO:0005783]
Q9NAN2	reviewed	apical plasma membrane [GO:0016324]; bicellular tight junction [GO:0005923]; cell cortex [GO:0005938]; cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]
A8WFJ9	reviewed	nucleus [GO:0005634]
Q22227	reviewed	cell cortex [GO:0005938]; cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
A8WHP8	reviewed	lipid droplet [GO:0005811]
Q22387	unreviewed	
A8XMZ5	unreviewed	
A8XQE0	unreviewed	NuA4 histone acetyltransferase complex [GO:0035267]
Q21501	unreviewed	NuA4 histone acetyltransferase complex [GO:0035267]; Swr1 complex [GO:0000812]
A9D2X7	unreviewed	
Q17549	unreviewed	
Q9N5G8	unreviewed	
Q9NGT3	unreviewed	centrosome [GO:0005813]; condensed chromosome kinetochore [GO:0000777]; nucleoplasm [GO:0005654]; pronucleus [GO:0045120]; spindle midzone [GO:0051233]
A9D4E4	unreviewed	
B1V8A0	reviewed	cell junction [GO:0030054]; membrane [GO:0016020]; neuromuscular junction [GO:0031594]; synaptic vesicle [GO:0008021]
Q95PW9	unreviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
A9D7R4	unreviewed	
G5ECL3	unreviewed	catalytic step 2 spliceosome [GO:0071013]; U2 snRNP [GO:0005686]; U2-type prespliceosome [GO:0071004]
A9UJN4	unreviewed	cytosol [GO:0005829]; nucleus [GO:0005634]; protein phosphatase type 2A complex [GO:0000159]
Q09543	reviewed	centrosome [GO:0005813]; cytoplasm [GO:0005737]; mitotic spindle [GO:0072686]; nuclear envelope [GO:0005635]; P granule [GO:0043186]; protein phosphatase type 2A complex [GO:0000159]
Q9TXM1	unreviewed	cell [GO:0005623]; cytoplasm [GO:0005737]; P granule [GO:0043186]
Q9TZK8	unreviewed	P granule [GO:0043186]
A9Z1L6	unreviewed	
H2KZG6	unreviewed	mitochondrion [GO:0005739]
O16369	unreviewed	AP-1 adaptor complex [GO:0030121]
O45799	unreviewed	integral component of plasma membrane [GO:0005887]
O76840	reviewed	basement membrane [GO:0005604]
Q09983	unreviewed	
Q22631	unreviewed	
B0M0L8	unreviewed	
Q09581	reviewed	plasma membrane [GO:0005886]
B1GRJ8	unreviewed	
O16364	unreviewed	
B1Q236	reviewed	axon [GO:0030424]; cell junction [GO:0030054]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; synapse [GO:0045202]
Q20308	unreviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]
B1Q240	unreviewed	intracellular [GO:0005622]
F3Y5P4	reviewed	centriole [GO:0005814]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; cytoplasm [GO:0005737]
G5ED84	reviewed	cell junction [GO:0030054]; Cul3-RING ubiquitin ligase complex [GO:0031463]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; postsynaptic density [GO:0014069]
G5EE01	reviewed	axon [GO:0030424]; cytoplasm [GO:0005737]; cytoplasmic side of plasma membrane [GO:0009898]; dendrite [GO:0030425]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]
G5EE65	unreviewed	cytoplasm [GO:0005737]; striated muscle dense body [GO:0055120]
G5EEN7	unreviewed	
G5EGK8	reviewed	axon [GO:0030424]; axonal growth cone [GO:0044295]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; neuronal cell body [GO:0043025]; perikaryon [GO:0043204]; protein phosphatase type 2A complex [GO:0000159]
G5EGM4	unreviewed	
H2L0E0	unreviewed	
O18188	unreviewed	cytoplasm [GO:0005737]; GID complex [GO:0034657]; nucleus [GO:0005634]
O45391	unreviewed	cytoplasm [GO:0005737]
O61521	unreviewed	integral component of membrane [GO:0016021]
O76387	reviewed	cytosol [GO:0005829]
P12844	reviewed	A band [GO:0031672]; striated muscle myosin thick filament [GO:0005863]
P34604	reviewed	
C0HKD6	reviewed	mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
C0HKD7	reviewed	integral component of peroxisomal membrane [GO:0005779]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]
P91001	reviewed	A band [GO:0031672]; COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
P91988	unreviewed	
P92004	unreviewed	
Q09477	reviewed	histone acetyltransferase complex [GO:0000123]; nBAF complex [GO:0071565]; nuclear chromatin [GO:0000790]; nucleus [GO:0005634]
Q11178	reviewed	
Q17391	reviewed	Cul3-RING ubiquitin ligase complex [GO:0031463]; cullin-RING ubiquitin ligase complex [GO:0031461]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q17415	unreviewed	cytoplasm [GO:0005737]
Q17451	unreviewed	
Q18171	unreviewed	autosome [GO:0030849]; nucleus [GO:0005634]
Q18624	unreviewed	nucleus [GO:0005634]
Q18938	reviewed	mitochondrion [GO:0005739]
Q19257	unreviewed	intracellular [GO:0005622]
Q19341	reviewed	cytoplasm [GO:0005737]
Q20628	unreviewed	cytosol [GO:0005829]
Q20677	unreviewed	
Q20712	unreviewed	
Q21740	unreviewed	P-body [GO:0000932]
Q21882	reviewed	
Q22174	unreviewed	
Q22544	reviewed	
Q23458	unreviewed	
Q3LRZ3	reviewed	
Q56VX2	unreviewed	
Q7YSI9	reviewed	cytoplasm [GO:0005737]
Q93716	unreviewed	mRNA cleavage factor complex [GO:0005849]
Q94420	reviewed	cell cortex [GO:0005938]; cleavage furrow [GO:0032154]; condensed chromosome [GO:0000793]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; I band [GO:0031674]; M band [GO:0031430]; membrane [GO:0016020]; nucleus [GO:0005634]
Q9GYG1	unreviewed	condensed chromosome [GO:0000793]; nucleolus [GO:0005730]; nucleus [GO:0005634]
Q9N350	unreviewed	
Q9N3Z0	unreviewed	aggresome [GO:0016235]; amphisome [GO:0044753]; autophagosome [GO:0005776]
Q9N4X8	reviewed	
Q9N5S5	unreviewed	
Q9NAM2	unreviewed	cytoskeleton [GO:0005856]
Q9NF11	unreviewed	cytoplasm [GO:0005737]
Q9TZ84	unreviewed	
Q9UAT1	unreviewed	cytoplasm [GO:0005737]; striated muscle dense body [GO:0055120]
Q9XUS5	unreviewed	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; sarcomere [GO:0030017]; striated muscle dense body [GO:0055120]
Q9XV35	unreviewed	nucleus [GO:0005634]; transcription factor complex [GO:0005667]
B1Q249	unreviewed	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; ubiquitin ligase complex [GO:0000151]
B1V897	unreviewed	
O02482	reviewed	nucleus [GO:0005634]; transcription factor complex [GO:0005667]
B9WRT9	unreviewed	extracellular space [GO:0005615]
C5NU64	unreviewed	intracellular [GO:0005622]
G5EBN5	unreviewed	
G5ECL2	reviewed	autolysosome [GO:0044754]; cell junction [GO:0030054]; cytoplasm [GO:0005737]; synapse [GO:0045202]; synaptic vesicle [GO:0008021]; type I terminal bouton [GO:0061174]; vesicle membrane [GO:0012506]
G5ED57	unreviewed	extracellular space [GO:0005615]
G5EEN3	unreviewed	guanyl-nucleotide exchange factor complex [GO:0032045]; plasma membrane [GO:0005886]; presynapse [GO:0098793]
A0A1C3NSL9	reviewed	apical junction complex [GO:0043296]; apical plasma membrane [GO:0016324]; apicolateral plasma membrane [GO:0016327]; cell-cell adherens junction [GO:0005913]; cell-cell junction [GO:0005911]; ciliary basal body [GO:0036064]; dendrite terminus [GO:0044292]
H2KZV4	unreviewed	
O01900	unreviewed	
O17214	reviewed	mitochondrion [GO:0005739]; tricarboxylic acid cycle enzyme complex [GO:0045239]
O44743	unreviewed	
O61708	unreviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P10986	reviewed	cytoskeleton [GO:0005856]; membrane raft [GO:0045121]; striated muscle thin filament [GO:0005865]
P19826	reviewed	actin cytoskeleton [GO:0015629]; cytoskeleton [GO:0005856]; focal adhesion [GO:0005925]; plasma membrane [GO:0005886]; striated muscle dense body [GO:0055120]
P34420	reviewed	nucleus [GO:0005634]
P34552	reviewed	basolateral plasma membrane [GO:0016323]; cytoplasmic vesicle [GO:0031410]; multivesicular body [GO:0005771]; organelle [GO:0043226]; recycling endosome [GO:0055037]
P39055	reviewed	apical part of cell [GO:0045177]; axon [GO:0030424]; cleavage furrow [GO:0032154]; cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; dendritic spine [GO:0043197]; dendritic spine head [GO:0044327]; membrane [GO:0016020]; midbody [GO:0030496]; periciliary membrane compartment [GO:1990075]; phagocytic cup [GO:0001891]; phagocytic vesicle [GO:0045335]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic endocytic zone membrane [GO:0098844]; postsynaptic membrane [GO:0045211]; presynaptic active zone [GO:0048786]; pseudopodium [GO:0031143]; spindle microtubule [GO:0005876]; synapse [GO:0045202]
Q09345	reviewed	cytoplasm [GO:0005737]; mRNA cleavage factor complex [GO:0005849]
Q09442	reviewed	nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; spliceosomal complex [GO:0005681]; U2 snRNP [GO:0005686]
Q09994	reviewed	actomyosin contractile ring [GO:0005826]; cytoplasm [GO:0005737]
Q17350	unreviewed	cytoplasm [GO:0005737]
Q18529	unreviewed	extracellular region [GO:0005576]
Q18605	unreviewed	
Q19994	unreviewed	
Q20330	unreviewed	
Q21648	unreviewed	
Q7JP60	unreviewed	
Q86D09	unreviewed	collagen trimer [GO:0005581]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; integral component of membrane [GO:0016021]
Q8MQE6	unreviewed	actin cortical patch [GO:0030479]; actin filament [GO:0005884]; cell cortex [GO:0005938]; cell leading edge [GO:0031252]; presynaptic periactive zone [GO:0036062]
Q94246	unreviewed	membrane raft [GO:0045121]
Q95XW7	unreviewed	
Q95YA5	unreviewed	axoneme [GO:0005930]; cytoplasm [GO:0005737]; filopodium [GO:0030175]
Q95YA9	unreviewed	cortical actin cytoskeleton [GO:0030864]
Q9N366	unreviewed	
Q9U370	unreviewed	MLL3/4 complex [GO:0044666]
Q9UA61	unreviewed	
Q9XZI6	reviewed	clathrin-coated pit [GO:0005905]; clathrin-coated vesicle [GO:0030136]; Golgi apparatus [GO:0005794]; presynaptic membrane [GO:0042734]
W6SBC7	unreviewed	CCR4-NOT complex [GO:0030014]
W6SBJ9	unreviewed	intracellular [GO:0005622]
B1V8K4	unreviewed	
Q9XUS3	unreviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial outer membrane [GO:0005741]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]
B3GWA1	unreviewed	nucleus [GO:0005634]
G5EFS1	unreviewed	cytoplasm [GO:0005737]
O45577	unreviewed	mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nuclear speck [GO:0016607]
Q19951	reviewed	integral component of membrane [GO:0016021]; peroxisomal importomer complex [GO:1990429]; peroxisomal membrane [GO:0005778]
Q6AHQ8	unreviewed	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; early endosome [GO:0005769]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]; recycling endosome membrane [GO:0055038]
Q965J0	unreviewed	
Q9XWH5	unreviewed	
B3WFT8	unreviewed	
P36573	reviewed	collagen and cuticulin-based cuticle extracellular matrix [GO:0060102]; membrane raft [GO:0045121]
Q17539	unreviewed	
Q9N359	reviewed	COP9 signalosome [GO:0008180]; cytosol [GO:0005829]
B3WFU1	unreviewed	nucleus [GO:0005634]
P30625	reviewed	cAMP-dependent protein kinase complex [GO:0005952]; cytosol [GO:0005829]; membrane [GO:0016020]
P41999	reviewed	nucleus [GO:0005634]
B4E3X6	unreviewed	
G5ECG5	unreviewed	apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; cytoplasm [GO:0005737]; hemidesmosome [GO:0030056]; intracellular organelle [GO:0043229]; membrane [GO:0016020]
B5U8M3	unreviewed	nucleus [GO:0005634]
G2HK15	unreviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
G5EBR0	unreviewed	
G5ECP6	unreviewed	
G5EEM0	unreviewed	nucleus [GO:0005634]
G5EGD2	reviewed	nucleus [GO:0005634]
H2KZA1	unreviewed	nucleus [GO:0005634]
H2L008	unreviewed	nucleus [GO:0005634]
O01527	unreviewed	nucleus [GO:0005634]
O02289	unreviewed	cell cortex [GO:0005938]; cytoplasm [GO:0005737]; cytosol [GO:0005829]
O02336	unreviewed	
O45494	unreviewed	
O62259	unreviewed	nucleus [GO:0005634]
P09088	reviewed	RNA polymerase II transcription factor complex [GO:0090575]
P20154	reviewed	nucleus [GO:0005634]
P41830	reviewed	nucleus [GO:0005634]; RNA polymerase II transcription factor complex [GO:0090575]
Q18273	reviewed	nucleus [GO:0005634]
Q19203	reviewed	M band [GO:0031430]; myosin filament [GO:0032982]; nucleus [GO:0005634]
Q20237	unreviewed	nucleus [GO:0005634]
Q21777	unreviewed	
Q22024	unreviewed	nucleus [GO:0005634]
Q5H9N3	unreviewed	nucleus [GO:0005634]
Q8T3B9	reviewed	nuclear transcription factor complex [GO:0044798]; nucleus [GO:0005634]
Q93520	unreviewed	
Q94126	reviewed	nucleus [GO:0005634]
Q9N5D6	reviewed	nucleus [GO:0005634]
Q9U3F4	reviewed	actin cytoskeleton [GO:0015629]; axon [GO:0030424]; focal adhesion [GO:0005925]; M band [GO:0031430]; nucleus [GO:0005634]; striated muscle dense body [GO:0055120]
Q9XWR1	unreviewed	
Q9XWS3	unreviewed	nucleus [GO:0005634]; transcription factor complex [GO:0005667]
V6CLJ5	unreviewed	nucleus [GO:0005634]; transcription factor complex [GO:0005667]
B5WWM0	unreviewed	
Q9U2Z5	unreviewed	
B6VQ60	reviewed	BRCA1-A complex [GO:0070531]; BRCA1-BARD1 complex [GO:0031436]; chromosome [GO:0005694]; cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
Q21209	reviewed	BRCA1-BARD1 complex [GO:0031436]; chromosome [GO:0005694]; cytoplasm [GO:0005737]
Q21298	unreviewed	
Q22799	reviewed	cytoplasm [GO:0005737]; cytoplasmic dynein complex [GO:0005868]; dynein complex [GO:0030286]; microtubule [GO:0005874]; nuclear envelope [GO:0005635]
B6VQ68	unreviewed	integral component of membrane [GO:0016021]
H2KZQ0	unreviewed	
Q10929	unreviewed	actin-based cell projection [GO:0098858]; axon [GO:0030424]; basal cortex [GO:0045180]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; lamellipodium membrane [GO:0031258]; neuronal cell body [GO:0043025]; perinuclear region of cytoplasm [GO:0048471]; presynapse [GO:0098793]; SCAR complex [GO:0031209]
Q21746	unreviewed	cytosol [GO:0005829]; membrane [GO:0016020]; TRC complex [GO:0072380]
B6VQ93	unreviewed	
O16500	unreviewed	
P91419	unreviewed	
Q20398	unreviewed	
B7WN72	reviewed	cell junction [GO:0030054]; cytoplasmic vesicle [GO:0031410]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; pseudopodium [GO:0031143]
G5EE23	unreviewed	
H2L045	unreviewed	cell junction [GO:0030054]; M band [GO:0031430]; striated muscle dense body [GO:0055120]
O44897	unreviewed	integral component of membrane [GO:0016021]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]
P91820	unreviewed	
Q18999	unreviewed	nucleus [GO:0005634]
Q19253	reviewed	apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cell-cell junction [GO:0005911]; intracellular vesicle [GO:0097708]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; recycling endosome [GO:0055037]
Q27355	reviewed	nucleus [GO:0005634]
Q8IU06	unreviewed	
Q8MYM6	unreviewed	
Q9N5N7	unreviewed	
Q9U1S2	unreviewed	integral component of membrane [GO:0016021]
Q9U367	unreviewed	
Q9XWD6	reviewed	cell surface [GO:0009986]; integral component of membrane [GO:0016021]; phagocytic cup [GO:0001891]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; pseudopodium membrane [GO:0031260]
B7WN89	unreviewed	
P91401	unreviewed	spliceosomal complex [GO:0005681]
B7WN91	unreviewed	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]
Q19547	unreviewed	
B7WN96	unreviewed	nucleus [GO:0005634]
P45897	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]
Q10924	unreviewed	nucleus [GO:0005634]
Q17381	reviewed	nucleus [GO:0005634]
Q20709	unreviewed	
B7WNA0	unreviewed	cytoplasm [GO:0005737]
P34480	reviewed	
Q22866	reviewed	actin filament [GO:0005884]; cytoplasm [GO:0005737]; I band [GO:0031674]; striated muscle thin filament [GO:0005865]
Q23539	unreviewed	cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; sarcomere [GO:0030017]; striated muscle dense body [GO:0055120]
Q9U1W5	unreviewed	
B7WNA2	unreviewed	
Q18037	unreviewed	cytosolic large ribosomal subunit [GO:0022625]; preribosome, large subunit precursor [GO:0030687]
B7WNA3	unreviewed	
P35602	reviewed	AP-1 adaptor complex [GO:0030121]; dendrite [GO:0030425]
B9ZSG9	unreviewed	integral component of membrane [GO:0016021]
Q21234	unreviewed	
C0Z1Y1	unreviewed	
P39745	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
C1P629	unreviewed	
G5ECK4	unreviewed	
G5EDS1	unreviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
O45003	unreviewed	
O45539	reviewed	extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]
Q17936	unreviewed	
