Entry	Status	Gene ontology (cellular component)
Q6IAN0	reviewed	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]
Q75LH2	unreviewed	
Q96JH8	reviewed	microtubule [GO:0005874]; protein-containing complex [GO:0032991]
A0JNW5	reviewed	cytosol [GO:0005829]; early endosome [GO:0005769]
P54253	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear inclusion body [GO:0042405]; nuclear matrix [GO:0016363]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
A0MNP2	unreviewed	cytosol [GO:0005829]; nuclear speck [GO:0016607]
P13686	reviewed	cytosol [GO:0005829]; integral component of membrane [GO:0016021]; lysosome [GO:0005764]
Q08345	reviewed	cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]
A0MZ66	reviewed	axon [GO:0030424]; axonal growth cone [GO:0044295]; cell leading edge [GO:0031252]; cytoplasm [GO:0005737]; filopodium [GO:0030175]; growth cone [GO:0030426]; lamellipodium [GO:0030027]; microtubule [GO:0005874]; microtubule associated complex [GO:0005875]; microtubule cytoskeleton [GO:0015630]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]
O75936	reviewed	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; mitochondrion [GO:0005739]
P05413	reviewed	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; sarcoplasm [GO:0016528]
P62508	reviewed	nucleoplasm [GO:0005654]
Q6PIQ7	unreviewed	
Q96KG7	reviewed	cell projection [GO:0042995]; integral component of membrane [GO:0016021]; phagocytic cup [GO:0001891]; plasma membrane [GO:0005886]
Q9Y5B8	reviewed	centrosome [GO:0005813]; cytosol [GO:0005829]
A0PJX4	reviewed	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
Q8ND90	reviewed	cytoplasm [GO:0005737]; nucleolus [GO:0005730]
A0PK00	reviewed	integral component of membrane [GO:0016021]; nuclear inner membrane [GO:0005637]
O95273	reviewed	cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
A0S2M1	unreviewed	integral component of membrane [GO:0016021]; mitochondrion [GO:0005739]
P25054	reviewed	adherens junction [GO:0005912]; beta-catenin destruction complex [GO:0030877]; bicellular tight junction [GO:0005923]; catenin complex [GO:0016342]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; kinetochore [GO:0000776]; lamellipodium [GO:0030027]; lateral plasma membrane [GO:0016328]; microtubule [GO:0005874]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]; Wnt signalosome [GO:1990909]
A0ZT98	unreviewed	motile cilium [GO:0031514]
P08238	reviewed	apical plasma membrane [GO:0016324]; aryl hydrocarbon receptor complex [GO:0034751]; axonal growth cone [GO:0044295]; basolateral plasma membrane [GO:0016323]; brush border membrane [GO:0031526]; cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic growth cone [GO:0044294]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; HSP90-CDC37 chaperone complex [GO:1990565]; inclusion body [GO:0016234]; lysosomal membrane [GO:0005765]; melanosome [GO:0042470]; membrane [GO:0016020]; mitochondrion [GO:0005739]; neuronal cell body [GO:0043025]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ooplasm [GO:1990917]; perinuclear region of cytoplasm [GO:0048471]; protein-containing complex [GO:0032991]; secretory granule lumen [GO:0034774]; sperm head plasma membrane [GO:1990913]
P36897	reviewed	activin receptor complex [GO:0048179]; bicellular tight junction [GO:0005923]; cell [GO:0005623]; cell surface [GO:0009986]; endosome [GO:0005768]; integral component of plasma membrane [GO:0005887]; intracellular [GO:0005622]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; transforming growth factor beta receptor complex [GO:0070022]
P37173	reviewed	caveola [GO:0005901]; cytosol [GO:0005829]; external side of plasma membrane [GO:0009897]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; transforming growth factor beta receptor complex [GO:0070022]
A1A4S6	reviewed	cytosol [GO:0005829]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]
P78314	reviewed	
Q92625	reviewed	cytosol [GO:0005829]; neuron projection [GO:0043005]; nucleoplasm [GO:0005654]
A1A580	reviewed	cytosol [GO:0005829]; intermediate filament [GO:0005882]
O14503	reviewed	cytoplasm [GO:0005737]; nuclear body [GO:0016604]; nucleus [GO:0005634]
Q63HR2	reviewed	focal adhesion [GO:0005925]; intracellular [GO:0005622]; plasma membrane [GO:0005886]
Q6IB83	unreviewed	nuclear body [GO:0016604]
A1A5C7	reviewed	integral component of membrane [GO:0016021]
P26371	reviewed	cytosol [GO:0005829]; keratin filament [GO:0045095]
P60410	reviewed	cytosol [GO:0005829]; keratin filament [GO:0045095]
Q7Z3S9	reviewed	cytoplasm [GO:0005737]; extracellular region [GO:0005576]
A1A5D2	unreviewed	
P63000	reviewed	cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; ficolin-1-rich granule membrane [GO:0101003]; focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; Golgi membrane [GO:0000139]; lamellipodium [GO:0030027]; melanosome [GO:0042470]; membrane [GO:0016020]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; recycling endosome membrane [GO:0055038]; ruffle membrane [GO:0032587]; secretory granule membrane [GO:0030667]; trans-Golgi network [GO:0005802]
A1A5D9	reviewed	cytoplasm [GO:0005737]
Q6P597	reviewed	ciliary rootlet [GO:0035253]; cytoplasm [GO:0005737]; kinesin complex [GO:0005871]; microtubule [GO:0005874]; motile cilium [GO:0031514]; neuron projection [GO:0043005]
A1E959	reviewed	cell periphery [GO:0071944]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; nucleus [GO:0005634]; supramolecular fiber [GO:0099512]
Q9H0E2	reviewed	azurophil granule lumen [GO:0035578]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; interleukin-18 receptor complex [GO:0045092]; interleukin-1 receptor complex [GO:0045323]; nuclear body [GO:0016604]; perinuclear region of cytoplasm [GO:0048471]; specific granule lumen [GO:0035580]
A1L0T0	reviewed	integral component of membrane [GO:0016021]; membrane [GO:0016020]
O60784	reviewed	azurophil granule membrane [GO:0035577]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome [GO:0005769]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]
P12956	reviewed	cytosol [GO:0005829]; extracellular region [GO:0005576]; ficolin-1-rich granule lumen [GO:1904813]; Ku70:Ku80 complex [GO:0043564]; membrane [GO:0016020]; nonhomologous end joining complex [GO:0070419]; nuclear chromosome, telomeric region [GO:0000784]; nuclear telomere cap complex [GO:0000783]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; protein-DNA complex [GO:0032993]; secretory granule lumen [GO:0034774]; transcription factor complex [GO:0005667]
Q8TAP6	reviewed	centriole [GO:0005814]; centrosome [GO:0005813]; cytosol [GO:0005829]; protein-containing complex [GO:0032991]
A1L162	reviewed	
O75367	reviewed	Barr body [GO:0001740]; condensed chromosome [GO:0000793]; extracellular exosome [GO:0070062]; nuclear chromatin [GO:0000790]; nuclear chromosome [GO:0000228]; nuclear chromosome, telomeric region [GO:0000784]; nucleolus [GO:0005730]; nucleosome [GO:0000786]; nucleus [GO:0005634]; pericentric heterochromatin [GO:0005721]; sex chromatin [GO:0001739]
Q96ST2	reviewed	nucleoplasm [GO:0005654]; nucleus [GO:0005634]
A1L190	reviewed	central element [GO:0000801]; chromosome [GO:0005694]; nucleus [GO:0005634]
P49441	reviewed	cytosol [GO:0005829]
Q96CS2	reviewed	centrosome [GO:0005813]; cytosol [GO:0005829]; HAUS complex [GO:0070652]; microtubule [GO:0005874]; spindle pole [GO:0000922]
Q9UL45	reviewed	axon cytoplasm [GO:1904115]; BLOC-1 complex [GO:0031083]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extrinsic component of membrane [GO:0019898]; presynapse [GO:0098793]; transport vesicle [GO:0030133]
A1L3X0	reviewed	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]
Q96EV8	reviewed	axon [GO:0030424]; axon cytoplasm [GO:1904115]; BLOC-1 complex [GO:0031083]; cell junction [GO:0030054]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; endoplasmic reticulum membrane [GO:0005789]; endosome membrane [GO:0010008]; glutamatergic synapse [GO:0098978]; growth cone [GO:0030426]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; melanosome membrane [GO:0033162]; microtubule cytoskeleton [GO:0015630]; midbody [GO:0030496]; neuron projection [GO:0043005]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]; sarcoplasm [GO:0016528]; Schaffer collateral - CA1 synapse [GO:0098685]; synaptic vesicle membrane [GO:0030672]
A1L3X4	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
P60370	reviewed	cytosol [GO:0005829]; keratin filament [GO:0045095]
P60411	reviewed	cytosol [GO:0005829]; keratin filament [GO:0045095]
A1L3Z8	unreviewed	
Q5VTD9	reviewed	nuclear matrix [GO:0016363]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]
A1L429	reviewed	
Q53SE7	unreviewed	
Q8NEA9	reviewed	nuclear matrix [GO:0016363]
Q96IK5	reviewed	nuclear matrix [GO:0016363]
A1L443	reviewed	
P62993	reviewed	cell-cell junction [GO:0005911]; COP9 signalosome [GO:0008180]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endosome [GO:0005768]; extracellular exosome [GO:0070062]; Golgi apparatus [GO:0005794]; Grb2-EGFR complex [GO:0070436]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; vesicle membrane [GO:0012506]
Q8NDC4	reviewed	cytoplasm [GO:0005737]; filopodium tip [GO:0032433]; stereocilium tip [GO:0032426]
Q9UQR1	reviewed	Golgi apparatus [GO:0005794]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
A1L4H1	reviewed	collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; intracellular [GO:0005622]
P37198	reviewed	annulate lamellae [GO:0005642]; centrosome [GO:0005813]; cytoplasm [GO:0005737]; Flemming body [GO:0090543]; mitotic spindle [GO:0072686]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear pore [GO:0005643]; nuclear pore central transport channel [GO:0044613]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; spindle pole [GO:0000922]
Q13077	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q13503	reviewed	mediator complex [GO:0016592]; ubiquitin ligase complex [GO:0000151]
Q7Z6G3	reviewed	axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; plasma membrane [GO:0005886]
Q96L14	reviewed	
Q9UPT5	reviewed	centriolar satellite [GO:0034451]; cytosol [GO:0005829]; exocyst [GO:0000145]; Flemming body [GO:0090543]; growth cone membrane [GO:0032584]; membrane [GO:0016020]; microtubule organizing center [GO:0005815]; plasma membrane [GO:0005886]
Q9Y6Y8	reviewed	COPII-coated ER to Golgi transport vesicle [GO:0030134]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]
A1L4K1	reviewed	nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; sarcoplasmic reticulum [GO:0016529]
O95835	reviewed	cytosol [GO:0005829]; microtubule organizing center [GO:0005815]; spindle pole [GO:0000922]
O95990	reviewed	actin cytoskeleton [GO:0015629]; cytoplasm [GO:0005737]; focal adhesion [GO:0005925]; neuron projection [GO:0043005]; nuclear speck [GO:0016607]; nucleus [GO:0005634]; ruffle membrane [GO:0032587]; stress fiber [GO:0001725]; synapse [GO:0045202]
P10768	reviewed	cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]
P17024	reviewed	nucleus [GO:0005634]
P28070	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]; proteasome core complex, beta-subunit complex [GO:0019774]
P29972	reviewed	apical part of cell [GO:0045177]; apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; basolateral plasma membrane [GO:0016323]; brush border [GO:0005903]; brush border membrane [GO:0031526]; cytoplasm [GO:0005737]; extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; symbiont-containing vacuole [GO:0020003]
P31146	reviewed	actin filament [GO:0005884]; axon [GO:0030424]; cell-cell junction [GO:0005911]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome [GO:0005769]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; immunological synapse [GO:0001772]; lamellipodium [GO:0030027]; membrane [GO:0016020]; phagocytic cup [GO:0001891]; phagocytic vesicle [GO:0045335]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]
P40426	reviewed	nucleus [GO:0005634]; transcription factor complex [GO:0005667]
Q00994	reviewed	cytosol [GO:0005829]; nucleus [GO:0005634]
Q06787	reviewed	axon [GO:0030424]; axon cytoplasm [GO:1904115]; axon terminus [GO:0043679]; Cajal body [GO:0015030]; cell junction [GO:0030054]; cell projection [GO:0042995]; chromocenter [GO:0010369]; chromosome [GO:0005694]; chromosome, centromeric region [GO:0000775]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendritic filopodium [GO:1902737]; dendritic spine [GO:0043197]; dendritic spine neck [GO:0044326]; extrinsic component of plasma membrane [GO:0019897]; filopodium tip [GO:0032433]; glial cell projection [GO:0097386]; growth cone [GO:0030426]; growth cone filopodium [GO:1990812]; membrane [GO:0016020]; messenger ribonucleoprotein complex [GO:1990124]; mRNA cap binding complex [GO:0005845]; neuronal cell body [GO:0043025]; neuronal ribonucleoprotein granule [GO:0071598]; neuron projection [GO:0043005]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; polysome [GO:0005844]; postsynapse [GO:0098794]; postsynaptic density [GO:0014069]; postsynaptic membrane [GO:0045211]; presynapse [GO:0098793]; presynaptic membrane [GO:0042734]; ribonucleoprotein complex [GO:1990904]; ribonucleoprotein granule [GO:0035770]; synapse [GO:0045202]; viral replication complex [GO:0019034]
Q08117	reviewed	nucleus [GO:0005634]; transcription factor complex [GO:0005667]
Q14324	reviewed	cytosol [GO:0005829]; M band [GO:0031430]; myosin filament [GO:0032982]; sarcomere [GO:0030017]; striated muscle thin filament [GO:0005865]; Z disc [GO:0030018]
Q14738	reviewed	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein phosphatase type 2A complex [GO:0000159]
Q15973	reviewed	nucleus [GO:0005634]
Q16670	reviewed	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q3B820	reviewed	astral microtubule [GO:0000235]; centrosome [GO:0005813]; ciliary basal body [GO:0036064]; mitotic spindle [GO:0072686]; mitotic spindle pole [GO:0097431]; photoreceptor connecting cilium [GO:0032391]; photoreceptor inner segment [GO:0001917]; spindle microtubule [GO:0005876]
Q53FD0	reviewed	
Q6IAM1	unreviewed	nuclear speck [GO:0016607]
Q6NYC8	reviewed	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]
Q6P1J9	reviewed	Cdc73/Paf1 complex [GO:0016593]; cytosol [GO:0005829]; nuclear chromosome, telomeric region [GO:0000784]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q7Z3B3	reviewed	condensed chromosome kinetochore [GO:0000777]; histone acetyltransferase complex [GO:0000123]; MLL1 complex [GO:0071339]; NSL complex [GO:0044545]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q7Z3I7	reviewed	nucleus [GO:0005634]
Q86VK4	reviewed	nucleus [GO:0005634]
Q86YD7	reviewed	
Q8IY31	reviewed	centriole [GO:0005814]; centrosome [GO:0005813]; ciliary base [GO:0097546]; ciliary tip [GO:0097542]; cilium [GO:0005929]; cis-Golgi network [GO:0005801]; dendrite terminus [GO:0044292]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intraciliary transport particle B [GO:0030992]; kinociliary basal body [GO:1902636]; microvillus [GO:0005902]; motile cilium [GO:0031514]; photoreceptor connecting cilium [GO:0032391]; photoreceptor outer segment [GO:0001750]; stereocilium [GO:0032420]
Q8N8B7	reviewed	nucleus [GO:0005634]
Q8NEF3	reviewed	
Q8TAU3	reviewed	nucleus [GO:0005634]
Q8TD31	reviewed	centriole [GO:0005814]; cytosol [GO:0005829]; nucleus [GO:0005634]
Q8WY48	unreviewed	
Q92569	reviewed	cytosol [GO:0005829]; phosphatidylinositol 3-kinase complex [GO:0005942]
Q96BZ8	reviewed	
Q96NC0	reviewed	nucleus [GO:0005634]; U2-type precatalytic spliceosome [GO:0071005]; U4/U6 x U5 tri-snRNP complex [GO:0046540]
Q96SQ5	reviewed	nucleus [GO:0005634]
Q99608	reviewed	cell projection [GO:0042995]; centrosome [GO:0005813]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; perikaryon [GO:0043204]
Q9BXY8	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q9H0A9	reviewed	centrosome [GO:0005813]
Q9H0E9	reviewed	mitochondrion [GO:0005739]; NuA4 histone acetyltransferase complex [GO:0035267]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Swr1 complex [GO:0000812]
Q9H6F0	unreviewed	
Q9H788	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]
Q9HC52	reviewed	heterochromatin [GO:0000792]; nuclear chromatin [GO:0000790]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PcG protein complex [GO:0031519]; PRC1 complex [GO:0035102]
Q9P0T4	reviewed	nucleus [GO:0005634]
Q9UGP5	reviewed	nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q9UIE0	reviewed	nucleus [GO:0005634]
Q9Y3B7	reviewed	mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrial ribosome [GO:0005761]; mitochondrion [GO:0005739]
A1XBS5	reviewed	centriole [GO:0005814]; ciliary basal body [GO:0036064]; ciliary base [GO:0097546]; cytoplasm [GO:0005737]; nucleus [GO:0005634]
Q92624	reviewed	cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; microtubule [GO:0005874]; microtubule associated complex [GO:0005875]; nucleus [GO:0005634]
Q9Y3M2	reviewed	centriole [GO:0005814]; ciliary basal body [GO:0036064]; cytosol [GO:0005829]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; trans-Golgi network [GO:0005802]
A2RRD8	reviewed	nucleus [GO:0005634]
P60409	reviewed	cytosol [GO:0005829]; keratin filament [GO:0045095]
A2RRG2	unreviewed	
P61964	reviewed	Ada2/Gcn5/Ada3 transcription activator complex [GO:0005671]; histone acetyltransferase complex [GO:0000123]; histone methyltransferase complex [GO:0035097]; intracellular [GO:0005622]; MLL1 complex [GO:0071339]; MLL3/4 complex [GO:0044666]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]
A2RRH5	reviewed	nucleoplasm [GO:0005654]
B4DYC6	unreviewed	
P08243	reviewed	cytosol [GO:0005829]
A2RRL7	reviewed	integral component of membrane [GO:0016021]
P15884	reviewed	beta-catenin-TCF7L2 complex [GO:0070369]; beta-catenin-TCF complex [GO:1990907]; nuclear chromatin [GO:0000790]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]
P31153	reviewed	cytosol [GO:0005829]; methionine adenosyltransferase complex [GO:0048269]
A2RRP1	reviewed	cytosol [GO:0005829]; Dsl1/NZR complex [GO:0070939]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]
